Network 	 $\epsilon_{\ccdf}$  	  $\epsilon_{\knn}$ 	 $\epsilon_{\cco}$ 
394669 	 0.6150 	 0.5225 	 0.4988 
394670 	 0.3384 	 0.4323 	 0.3797 
394671 	 0.2772 	 0.3498 	 0.3099 
394672 	 0.2269 	 0.2856 	 0.1633 
394673 	 0.4199 	 0.3665 	 0.3608 
394674 	 0.4190 	 0.5400 	 0.3820 
394675 	 0.4470 	 0.5139 	 0.3310 
394676 	 0.2785 	 0.3297 	 0.2418 
394677 	 0.4731 	 0.4824 	 0.6286 
394678 	 0.4530 	 0.5821 	 0.4983 
394679 	 0.5156 	 0.6449 	 0.6505 
394680 	 0.2910 	 0.3876 	 0.3343 
394681 	 0.3970 	 0.5332 	 0.4994 
394682 	 0.0180 	 0.0003 	 0.0251 
394683 	 0.0000 	 0.0000 	 0.0000 
394684 	 0.0000 	 0.0000 	 0.0000 
394685 	 0.0000 	 0.0000 	 0.0000 
394686 	 0.1063 	 0.1233 	 0.0966 
394687 	 0.2147 	 0.2599 	 0.2991 
394688 	 0.2351 	 0.1916 	 0.1573 
394689 	 0.5457 	 0.4064 	 0.4773 
394690 	 0.3454 	 0.5268 	 0.4039 
394691 	 0.4746 	 0.4783 	 0.3243 
394692 	 0.4799 	 0.4737 	 0.4606 
394693 	 0.5248 	 0.5034 	 0.4901 
394694 	 0.5736 	 0.5382 	 0.4884 
394695 	 0.4258 	 0.5221 	 0.4022 
394696 	 0.4735 	 0.4546 	 0.4596 
394697 	 0.4526 	 0.6050 	 0.4430 
394698 	 0.4826 	 0.3784 	 0.3082 
394699 	 0.4485 	 0.5152 	 0.4295 
394700 	 0.4176 	 0.3896 	 0.3125 
394701 	 0.4909 	 0.4534 	 0.4574 
394702 	 0.4826 	 0.6315 	 0.4813 
394703 	 0.3989 	 0.6506 	 0.4054 
394704 	 0.4664 	 0.4868 	 0.5208 
394706 	 0.1559 	 0.1698 	 0.1652 
394707 	 0.0500 	 0.0500 	 0.0500 
394708 	 0.0000 	 0.0000 	 0.0000 
394709 	 0.0000 	 0.0000 	 0.0000 
394710 	 0.0320 	 0.0006 	 0.0500 
394711 	 0.0500 	 0.0500 	 0.0250 
394712 	 0.4195 	 0.5246 	 0.4962 
394713 	 0.4934 	 0.6104 	 0.5206 
394714 	 0.4887 	 0.5404 	 0.3372 
394715 	 0.5701 	 0.3908 	 0.4371 
394716 	 0.3694 	 0.9084 	 0.3796 
394717 	 0.5956 	 0.5536 	 0.4951 
394718 	 0.3451 	 0.4145 	 0.3062 
394719 	 0.5244 	 0.5098 	 0.4764 
394720 	 0.2563 	 0.3298 	 0.2731 
394721 	 0.4091 	 0.3777 	 0.3150 
394722 	 0.3540 	 0.3210 	 0.2686 
394723 	 0.5957 	 0.4213 	 0.3992 
394724 	 0.3915 	 0.4363 	 0.4086 
394725 	 0.2399 	 0.2957 	 0.1146 
394726 	 0.6123 	 0.5001 	 0.5033 
394727 	 0.4965 	 0.5266 	 0.5192 
394728 	 0.2398 	 0.2586 	 0.2560 
394729 	 0.0500 	 0.0500 	 0.0500 
394730 	 0.1010 	 0.1004 	 0.0754 
394731 	 0.0250 	 0.0250 	 0.0000 
394732 	 0.0000 	 0.0000 	 0.0000 
394733 	 0.0500 	 0.0500 	 0.0500 
394734 	 0.3405 	 0.3997 	 0.2827 
394735 	 0.1466 	 0.1498 	 0.1446 
394736 	 0.2726 	 0.4461 	 0.2917 
394737 	 0.3004 	 0.2998 	 0.2638 
394738 	 0.3474 	 0.3977 	 0.3162 
394739 	 0.1434 	 0.1767 	 0.1264 
394740 	 0.3578 	 0.5106 	 0.4159 
394741 	 0.3173 	 0.3580 	 0.3999 
394742 	 0.1973 	 0.1901 	 0.1287 
394743 	 0.3311 	 0.3311 	 0.3715 
394744 	 0.3273 	 0.3782 	 0.2978 
394745 	 0.5127 	 0.6303 	 0.5330 
394746 	 0.4822 	 0.4904 	 0.4057 
394747 	 0.4328 	 0.6496 	 0.4932 
394748 	 0.4232 	 0.3952 	 0.4919 
394749 	 0.4259 	 0.5044 	 0.6367 
394750 	 0.2603 	 0.2149 	 0.2333 
394751 	 0.0500 	 0.0500 	 0.0000 
394752 	 0.3700 	 0.4425 	 0.4321 
394757 	 0.0000 	 0.0000 	 0.0000 
394758 	 0.2391 	 0.2902 	 0.2821 
394759 	 0.3989 	 0.4170 	 0.4380 
394761 	 0.0500 	 0.0500 	 0.0500 
394762 	 0.3525 	 0.4426 	 0.4259 
394763 	 0.1056 	 0.1611 	 0.0500 
394764 	 0.2725 	 0.3853 	 0.3557 
