hora,clave_max
394669,22.0
394670,35.0
394671,42.0
394672,51.0
394673,42.0
394674,43.0
394675,37.0
394676,32.0
394677,26.0
394678,9.0
394679,9.0
394680,11.0
394681,9.0
394682,7.0
394683,6.0
394684,14.0
394685,15.0
394686,16.0
394687,16.0
394688,19.0
394689,19.0
394690,18.0
394691,19.0
394692,19.0
394693,12.0
394694,10.0
394695,17.0
394696,18.0
394697,24.0
394698,47.0
394699,52.0
394700,42.0
394701,34.0
394702,21.0
394703,21.0
394704,13.0
394705,5.0
394706,6.0
394707,9.0
394708,9.0
394709,7.0
394710,6.0
394711,10.0
394712,15.0
394713,20.0
394714,30.0
394715,28.0
394716,26.0
394717,38.0
394718,40.0
394719,36.0
394720,17.0
394721,16.0
394722,17.0
394723,19.0
394724,35.0
394725,27.0
394726,21.0
394727,31.0
394728,22.0
394729,10.0
394730,12.0
394731,13.0
394732,11.0
394733,12.0
394734,14.0
394735,16.0
394736,14.0
394737,6.0
394738,12.0
394739,18.0
394740,21.0
394741,15.0
394742,11.0
394743,14.0
394744,13.0
394745,18.0
394746,19.0
394747,21.0
394748,17.0
394749,22.0
394750,22.0
394751,21.0
394752,10.0
394753,5.0
394754,4.0
394755,3.0
394756,8.0
394757,8.0
394758,8.0
394759,9.0
394760,9.0
394761,10.0
