Network 	 $\epsilon_{\ccdf}$  	  $\epsilon_{\knn}$ 	 $\epsilon_{\cco}$ 
436983 	 0.2685 	 0.2297 	 0.1851 
436984 	 0.2882 	 0.1952 	 0.1634 
436985 	 0.1743 	 0.1283 	 0.0790 
436986 	 0.2478 	 0.1892 	 0.1251 
436987 	 0.3121 	 0.2153 	 0.1673 
436988 	 0.2636 	 0.1191 	 0.1065 
436989 	 0.1904 	 0.1252 	 0.0705 
436990 	 0.2031 	 0.1066 	 0.0810 
436991 	 0.1904 	 0.1528 	 0.1138 
436992 	 0.4964 	 0.1265 	 0.1130 
436993 	 0.6666 	 0.1830 	 0.1965 
436994 	 0.4775 	 0.1573 	 0.1641 
436995 	 0.4075 	 0.2276 	 0.1873 
436996 	 0.2329 	 0.1360 	 0.1155 
436997 	 0.3197 	 0.4385 	 0.2707 
436998 	 0.5171 	 0.3622 	 0.3620 
436999 	 0.6035 	 0.3703 	 0.3764 
437000 	 0.5151 	 0.3491 	 0.3679 
437001 	 0.4950 	 0.3062 	 0.3325 
437002 	 0.5336 	 0.1985 	 0.1948 
437003 	 0.5955 	 0.4364 	 0.4155 
437004 	 0.5503 	 0.4889 	 0.4704 
437005 	 0.5270 	 0.3719 	 0.3608 
437006 	 0.3750 	 0.0832 	 0.1355 
437007 	 0.1725 	 0.1407 	 0.0779 
437008 	 0.2860 	 0.1778 	 0.1543 
437009 	 0.2504 	 0.1775 	 0.1296 
437010 	 0.3224 	 0.2187 	 0.1771 
437011 	 0.4662 	 0.2090 	 0.1680 
437012 	 0.5689 	 0.2255 	 0.2058 
437013 	 0.3432 	 0.2070 	 0.1343 
437014 	 0.2371 	 0.1064 	 0.0840 
437015 	 0.2687 	 0.1025 	 0.1017 
437016 	 0.2579 	 0.0891 	 0.0657 
437017 	 0.1980 	 0.0612 	 0.0362 
437018 	 0.3064 	 0.2000 	 0.1856 
437019 	 0.2757 	 0.2183 	 0.1734 
437020 	 0.2649 	 0.1713 	 0.1692 
437021 	 0.3162 	 0.2805 	 0.2134 
437022 	 0.4544 	 0.3404 	 0.3640 
437023 	 0.4058 	 0.2204 	 0.2387 
437024 	 0.4772 	 0.3103 	 0.3248 
437025 	 0.6607 	 0.6302 	 0.6131 
437026 	 0.6746 	 0.6135 	 0.5954 
437027 	 0.6401 	 0.6094 	 0.6026 
437028 	 0.5660 	 0.3797 	 0.3309 
437029 	 0.5396 	 0.1535 	 0.1792 
437030 	 0.2864 	 0.1640 	 0.1219 
437031 	 0.5757 	 0.1575 	 0.1417 
437032 	 0.8125 	 0.0951 	 0.1294 
437033 	 0.6845 	 0.1225 	 0.1334 
437034 	 0.5454 	 0.1623 	 0.1183 
437035 	 0.2763 	 0.1875 	 0.1112 
437036 	 0.2098 	 0.0744 	 0.0442 
437037 	 0.3199 	 0.0963 	 0.0922 
437038 	 0.4397 	 0.1302 	 0.1010 
437039 	 0.2627 	 0.0648 	 0.0508 
437040 	 0.3022 	 0.1004 	 0.0643 
437041 	 0.2995 	 0.0860 	 0.0519 
437042 	 0.2963 	 0.1479 	 0.1190 
437043 	 0.3690 	 0.1232 	 0.1081 
437044 	 0.4001 	 0.1223 	 0.0961 
437045 	 0.3340 	 0.1347 	 0.1279 
437046 	 0.2842 	 0.2236 	 0.1750 
437047 	 0.3913 	 0.1575 	 0.1461 
437048 	 0.5031 	 0.2893 	 0.2634 
437049 	 0.2475 	 0.2127 	 0.1467 
437050 	 0.2628 	 0.1308 	 0.0770 
437051 	 0.3443 	 0.2399 	 0.1153 
437052 	 0.3538 	 0.1478 	 0.1266 
437053 	 0.3429 	 0.1405 	 0.1555 
437054 	 0.3274 	 0.0984 	 0.0876 
437055 	 0.2624 	 0.0736 	 0.0624 
437056 	 0.2058 	 0.1024 	 0.1021 
437057 	 0.3695 	 0.2041 	 0.1900 
437058 	 0.3551 	 0.1341 	 0.1195 
437059 	 0.3236 	 0.0866 	 0.0659 
437060 	 0.3076 	 0.0872 	 0.0561 
437061 	 0.3310 	 0.0751 	 0.0297 
437062 	 0.4261 	 0.0937 	 0.0682 
437063 	 0.4296 	 0.0759 	 0.0616 
437064 	 0.9735 	 0.3015 	 0.2350 
437065 	 0.8280 	 0.5535 	 0.5681 
437066 	 0.7694 	 0.5825 	 0.6017 
437067 	 0.6696 	 0.4640 	 0.4417 
437068 	 0.5839 	 0.2883 	 0.2466 
437069 	 0.3062 	 0.2272 	 0.1899 
437070 	 0.3097 	 0.1832 	 0.1982 
437071 	 0.2235 	 0.1373 	 0.1067 
437072 	 0.6016 	 0.5187 	 0.5169 
437073 	 0.7500 	 0.8503 	 0.8515 
437074 	 0.6965 	 0.7750 	 0.7310 
437075 	 0.6578 	 0.5606 	 0.5272 
437076 	 0.2729 	 0.1227 	 0.1292 
437077 	 0.1901 	 0.1120 	 0.0707 
