Network 	 $\epsilon_{\ccdf}$  	  $\epsilon_{\knn}$ 	 $\epsilon_{\cco}$ 
436983 	 0.2868 	 0.2352 	 0.1673 
436984 	 0.2373 	 0.1691 	 0.1144 
436985 	 0.1862 	 0.1708 	 0.1099 
436986 	 0.2539 	 0.1610 	 0.1373 
436987 	 0.2498 	 0.1091 	 0.1065 
436988 	 0.2508 	 0.1000 	 0.1157 
436989 	 0.1875 	 0.1107 	 0.0891 
436990 	 0.2342 	 0.1364 	 0.1240 
436991 	 0.4745 	 0.1456 	 0.1375 
436992 	 0.4384 	 0.1204 	 0.1137 
436993 	 0.5647 	 0.1463 	 0.1554 
436994 	 0.4243 	 0.1182 	 0.1463 
436995 	 0.3064 	 0.1825 	 0.1371 
436996 	 0.1970 	 0.2019 	 0.1109 
436997 	 0.4712 	 0.2788 	 0.2768 
436998 	 0.5188 	 0.2505 	 0.3204 
436999 	 0.4537 	 0.2641 	 0.2691 
437000 	 0.5011 	 0.3349 	 0.3287 
437001 	 0.5275 	 0.2089 	 0.2360 
437002 	 0.5859 	 0.3381 	 0.3473 
437003 	 0.5411 	 0.4495 	 0.4148 
437004 	 0.5276 	 0.4290 	 0.3815 
437005 	 0.4497 	 0.3193 	 0.2541 
437006 	 0.3361 	 0.0991 	 0.1024 
437007 	 0.2031 	 0.0799 	 0.0603 
437008 	 0.2821 	 0.1190 	 0.1162 
437009 	 0.2862 	 0.1456 	 0.1108 
437010 	 0.3052 	 0.0938 	 0.1131 
437011 	 0.4595 	 0.2110 	 0.2030 
437012 	 0.3944 	 0.1371 	 0.1084 
437013 	 0.3392 	 0.1496 	 0.1374 
437014 	 0.2297 	 0.1012 	 0.0448 
437015 	 0.2465 	 0.0953 	 0.0696 
437016 	 0.2961 	 0.1025 	 0.0951 
437017 	 0.2607 	 0.1903 	 0.1482 
437018 	 0.2671 	 0.1859 	 0.1799 
437019 	 0.2666 	 0.2181 	 0.1790 
437020 	 0.3272 	 0.2598 	 0.2052 
437021 	 0.3471 	 0.2903 	 0.2384 
437022 	 0.4597 	 0.2026 	 0.2232 
437023 	 0.4416 	 0.2930 	 0.2900 
437024 	 0.5948 	 0.5519 	 0.5324 
437025 	 0.6403 	 0.5865 	 0.5774 
437026 	 0.6535 	 0.5916 	 0.5605 
437027 	 0.5809 	 0.4855 	 0.4486 
437028 	 0.5381 	 0.2902 	 0.2150 
437029 	 0.3244 	 0.0900 	 0.0842 
437030 	 0.3720 	 0.1500 	 0.1229 
437031 	 0.6323 	 0.1149 	 0.1316 
437032 	 0.6399 	 0.0987 	 0.0972 
437033 	 0.8133 	 0.1198 	 0.1029 
437034 	 0.4922 	 0.1516 	 0.1244 
437035 	 0.2414 	 0.0932 	 0.0539 
437036 	 0.2713 	 0.0997 	 0.0572 
437037 	 0.3921 	 0.1102 	 0.1168 
437038 	 0.4160 	 0.1068 	 0.0751 
437039 	 0.2908 	 0.1272 	 0.0781 
437040 	 0.2918 	 0.0813 	 0.0344 
437041 	 0.3493 	 0.0819 	 0.0323 
437042 	 0.3262 	 0.1576 	 0.1360 
437043 	 0.3396 	 0.1096 	 0.0967 
437044 	 0.3803 	 0.1118 	 0.0860 
437045 	 0.3664 	 0.1626 	 0.1516 
437046 	 0.3719 	 0.2213 	 0.2008 
437047 	 0.3413 	 0.1853 	 0.1692 
437048 	 0.4493 	 0.2446 	 0.2173 
437049 	 0.2199 	 0.1150 	 0.0739 
437050 	 0.3712 	 0.1250 	 0.1291 
437051 	 0.3075 	 0.0951 	 0.0737 
437052 	 0.2925 	 0.0851 	 0.0746 
437053 	 0.2437 	 0.0821 	 0.0627 
437054 	 0.2626 	 0.0644 	 0.0534 
437055 	 0.2651 	 0.0570 	 0.0440 
437056 	 0.2588 	 0.0784 	 0.0857 
437057 	 0.3741 	 0.0992 	 0.1086 
437058 	 0.3640 	 0.1037 	 0.0760 
437059 	 0.3044 	 0.0836 	 0.0566 
437060 	 0.4249 	 0.1105 	 0.0821 
437061 	 0.4133 	 0.0950 	 0.0674 
437062 	 0.3543 	 0.0899 	 0.0752 
437063 	 1.0232 	 0.1230 	 0.0731 
437064 	 0.9891 	 0.4227 	 0.3748 
437065 	 0.8407 	 0.5200 	 0.5370 
437066 	 0.7685 	 0.5496 	 0.5543 
437067 	 0.6801 	 0.4270 	 0.3969 
437068 	 0.5499 	 0.2728 	 0.2405 
437069 	 0.2413 	 0.1739 	 0.1140 
437070 	 0.2634 	 0.2267 	 0.1257 
437071 	 0.5367 	 0.4452 	 0.4491 
437072 	 0.7361 	 0.7749 	 0.7544 
437073 	 0.7238 	 0.7392 	 0.7525 
437074 	 0.6959 	 0.6477 	 0.6465 
437075 	 0.6286 	 0.4822 	 0.4520 
437076 	 0.2215 	 0.1197 	 0.1083 
