hora,clave_max
429576,11.0
429577,14.0
429578,15.0
429579,14.0
429580,14.0
429581,8.0
429582,5.0
429583,9.0
429584,6.0
429585,15.0
429586,16.0
429587,12.0
429588,21.0
429589,13.0
429590,17.0
429591,24.0
429592,8.0
429593,25.0
429594,24.0
429595,27.0
429596,25.0
429597,24.0
429598,28.0
429599,33.0
429600,24.0
429601,12.0
429602,15.0
429603,10.0
429604,7.0
429605,7.0
429606,4.0
429607,5.0
429608,4.0
429609,6.0
429610,13.0
429611,13.0
429612,13.0
429613,14.0
429614,28.0
429615,22.0
429616,21.0
429617,35.0
429618,43.0
429619,33.0
429620,11.0
429621,17.0
429622,31.0
429623,39.0
429624,37.0
429625,37.0
429626,21.0
429627,19.0
429628,19.0
429629,17.0
429630,13.0
429631,10.0
429632,12.0
429633,12.0
429634,14.0
429635,49.0
429636,43.0
429637,16.0
429638,37.0
429639,38.0
429640,12.0
429641,14.0
429642,14.0
429643,21.0
429644,20.0
429645,33.0
429646,26.0
429647,7.0
429648,9.0
429649,58.0
429650,53.0
429651,19.0
429652,18.0
429653,21.0
429654,9.0
429655,17.0
429656,9.0
429657,7.0
429658,8.0
429659,11.0
429660,11.0
429661,10.0
429662,10.0
429663,20.0
429664,13.0
429665,23.0
429666,47.0
429667,25.0
429668,18.0
429669,19.0
429670,12.0
