hora,clave_max
429576,17.0
429577,16.0
429578,15.0
429579,14.0
429580,13.0
429581,5.0
429582,5.0
429583,9.0
429584,15.0
429585,15.0
429586,16.0
429587,20.0
429588,17.0
429589,16.0
429590,17.0
429591,25.0
429592,25.0
429593,29.0
429594,30.0
429595,31.0
429596,25.0
429597,31.0
429598,30.0
429599,34.0
429600,19.0
429601,12.0
429602,16.0
429603,11.0
429604,11.0
429605,7.0
429606,7.0
429607,4.0
429608,7.0
429609,13.0
429610,13.0
429611,13.0
429612,15.0
429613,26.0
429614,23.0
429615,22.0
429616,34.0
429617,58.0
429618,54.0
429619,33.0
429620,18.0
429621,30.0
429622,42.0
429623,50.0
429624,44.0
429625,36.0
429626,27.0
429627,19.0
429628,25.0
429629,17.0
429630,14.0
429631,14.0
429632,11.0
429633,14.0
429634,50.0
429635,48.0
429636,49.0
429637,44.0
429638,40.0
429639,38.0
429640,15.0
429641,13.0
429642,15.0
429643,22.0
429644,37.0
429645,35.0
429646,31.0
429647,9.0
429648,62.0
429649,56.0
429650,55.0
429651,22.0
429652,22.0
429653,22.0
429654,19.0
429655,23.0
429656,10.0
429657,9.0
429658,15.0
429659,11.0
429660,11.0
429661,10.0
429662,24.0
429663,23.0
429664,34.0
429665,47.0
429666,47.0
429667,48.0
429668,21.0
429669,21.0
