hora,clave_max
429576,16.0
429577,15.0
429578,15.0
429579,14.0
429580,13.0
429581,6.0
429582,6.0
429583,16.0
429584,16.0
429585,16.0
429586,18.0
429587,19.0
429588,15.0
429589,18.0
429590,18.0
429591,25.0
429592,29.0
429593,30.0
429594,28.0
429595,30.0
429596,30.0
429597,29.0
429598,31.0
429599,35.0
429600,18.0
429601,16.0
429602,15.0
429603,17.0
429604,11.0
429605,8.0
429606,11.0
429607,7.0
429608,13.0
429609,13.0
429610,18.0
429611,14.0
429612,30.0
429613,29.0
429614,23.0
429615,30.0
429616,61.0
429617,61.0
429618,55.0
429619,33.0
429620,31.0
429621,43.0
429622,43.0
429623,51.0
429624,47.0
429625,36.0
429626,27.0
429627,24.0
429628,22.0
429629,17.0
429630,14.0
429631,12.0
429632,14.0
429633,49.0
429634,49.0
429635,52.0
429636,44.0
429637,45.0
429638,42.0
429639,38.0
429640,17.0
429641,18.0
429642,19.0
429643,34.0
429644,35.0
429645,37.0
429646,31.0
429647,67.0
429648,63.0
429649,59.0
429650,50.0
429651,23.0
429652,22.0
429653,18.0
429654,23.0
429655,23.0
429656,10.0
429657,15.0
429658,15.0
429659,15.0
429660,9.0
429661,25.0
429662,28.0
429663,37.0
429664,61.0
429665,46.0
429666,53.0
429667,48.0
429668,21.0
