Network 	 $\epsilon_{\ccdf}$  	  $\epsilon_{\knn}$ 	 $\epsilon_{\cco}$ 
394669 	 0.2999 	 0.2626 	 0.1706 
394670 	 0.5699 	 0.3316 	 0.2395 
394671 	 0.6268 	 0.2904 	 0.2273 
394672 	 0.7321 	 0.2818 	 0.2785 
394673 	 0.7449 	 0.4688 	 0.5108 
394674 	 0.7750 	 0.4706 	 0.5039 
394675 	 0.5261 	 0.3643 	 0.4372 
394676 	 0.5879 	 0.4427 	 0.4641 
394677 	 0.4484 	 0.3898 	 0.4330 
394678 	 0.2567 	 0.5063 	 0.1737 
394679 	 0.4115 	 0.5673 	 0.3951 
394680 	 0.4709 	 0.5017 	 0.5169 
394681 	 0.3241 	 0.4547 	 0.4053 
394682 	 0.2756 	 0.3411 	 0.3431 
394683 	 0.0509 	 0.1502 	 0.1174 
394684 	 0.4611 	 0.5022 	 0.5044 
394685 	 0.5253 	 0.5760 	 0.4739 
394686 	 0.6116 	 0.6474 	 0.4956 
394687 	 0.5049 	 0.5256 	 0.4047 
394688 	 0.5890 	 0.4944 	 0.4362 
394689 	 0.5472 	 0.5190 	 0.3376 
394690 	 0.4745 	 0.5107 	 0.4110 
394691 	 0.4607 	 0.6314 	 0.3392 
394692 	 0.3726 	 0.3941 	 0.2727 
394693 	 0.3434 	 0.5219 	 0.2693 
394694 	 0.2228 	 0.4853 	 0.1735 
394695 	 0.2510 	 0.4106 	 0.1976 
394696 	 0.3529 	 0.4818 	 0.2507 
394697 	 0.3718 	 0.5333 	 0.2625 
394698 	 0.4956 	 0.4029 	 0.4597 
394699 	 0.5611 	 0.4536 	 0.4550 
394700 	 0.5037 	 0.4300 	 0.4027 
394701 	 0.5725 	 0.3668 	 0.3695 
394702 	 0.4699 	 0.5120 	 0.4175 
394703 	 0.6064 	 0.4069 	 0.5610 
394704 	 0.4669 	 0.3960 	 0.5083 
394705 	 0.5477 	 0.5965 	 0.5910 
394706 	 0.4053 	 0.4705 	 0.4266 
394707 	 0.1783 	 0.2354 	 0.2733 
394708 	 0.3156 	 0.2679 	 0.2685 
394709 	 0.4742 	 0.7794 	 0.5157 
394710 	 0.3785 	 0.5237 	 0.4151 
394711 	 0.5179 	 0.6785 	 0.4455 
394712 	 0.3824 	 2.3546 	 0.2922 
394713 	 0.4183 	 0.4966 	 0.2873 
394714 	 0.5854 	 0.4915 	 0.3708 
394715 	 0.5483 	 0.4445 	 0.2455 
394716 	 0.4013 	 0.3662 	 0.2225 
394717 	 0.4295 	 0.3896 	 0.2422 
394718 	 0.3737 	 0.2064 	 0.1893 
394719 	 0.3319 	 0.2293 	 0.1891 
394720 	 0.1905 	 0.2399 	 0.1184 
394721 	 0.2356 	 0.2410 	 0.1319 
394722 	 0.2088 	 0.2390 	 0.1382 
394723 	 0.2792 	 0.3802 	 0.1731 
394724 	 0.4138 	 0.3395 	 0.2342 
394725 	 0.5937 	 0.3476 	 0.4454 
394726 	 0.4596 	 0.3617 	 0.4748 
394727 	 0.4187 	 0.3947 	 0.3951 
394728 	 0.4159 	 0.4809 	 0.4450 
394729 	 0.4811 	 0.5108 	 0.6155 
394730 	 0.3673 	 0.4533 	 0.4321 
394731 	 0.4110 	 0.6438 	 0.4028 
394732 	 0.5749 	 0.5968 	 0.4948 
394733 	 0.4274 	 0.5324 	 0.4272 
394734 	 0.5625 	 0.5641 	 0.4877 
394735 	 0.5176 	 0.4492 	 0.4603 
394736 	 0.5083 	 0.4316 	 0.4589 
394737 	 0.3888 	 0.5381 	 0.3271 
394738 	 0.4793 	 0.5096 	 0.3429 
394739 	 0.5655 	 0.4960 	 0.4356 
394740 	 0.5408 	 0.6400 	 0.4938 
394741 	 0.5708 	 0.4372 	 0.4758 
394742 	 0.4237 	 0.5185 	 0.3111 
394743 	 0.3125 	 0.3715 	 0.2341 
394744 	 0.2184 	 0.2537 	 0.1716 
394745 	 0.2969 	 0.2622 	 0.1921 
394746 	 0.3985 	 0.4232 	 0.3322 
394747 	 0.4671 	 0.3494 	 0.3240 
394748 	 0.4983 	 0.3663 	 0.4146 
394749 	 0.5542 	 0.4245 	 0.5780 
394750 	 0.5671 	 0.3667 	 0.5021 
394751 	 0.3958 	 0.4251 	 0.4062 
394752 	 0.3330 	 0.4515 	 0.4164 
394753 	 0.0500 	 0.0500 	 0.0500 
394755 	 0.2836 	 0.2996 	 0.2375 
394756 	 0.4998 	 0.5274 	 0.5084 
394757 	 0.5001 	 0.3957 	 0.4229 
394758 	 0.4736 	 0.4041 	 0.3449 
394759 	 0.3490 	 0.4368 	 0.4861 
394760 	 0.5156 	 0.6243 	 0.5044 
394761 	 0.4611 	 0.4446 	 0.4059 
