hora,epsilon2_ccdf,epsilon2_c,epsilon_knn,epsilon_max
429576,0.07199052456862101,0.276327637539527,0.22573907402332136,0.276327637539527
429577,0.18426317110418255,0.11814865012591504,0.1588251106364165,0.18426317110418255
429578,0.1093729681447253,0.6727030438460903,0.1877408309296176,0.6727030438460903
429579,0.055401312637706535,0.29903540663023387,0.022200247058756357,0.29903540663023387
429580,0.09096724635198176,0.04433737107601413,0.07620319897179502,0.09096724635198176
429581,0.006140135237908612,0.0029999999999999996,0.00371011859091067,0.006140135237908612
429582,0.0,0.0,6.08716824933037e-06,6.08716824933037e-06
429583,0.004474927934356961,0.0,1.0000000000000174e-05,0.004474927934356961
429584,0.0,0.0,0.0,0.0
429585,0.008333333333333333,0.0009259259259259261,0.0015711374300995346,0.008333333333333333
429586,0.08957067177897814,0.049755979464271204,0.030691774460696,0.08957067177897814
429587,0.06515528647158265,0.9963075520764914,0.14725234235072146,0.9963075520764914
429588,0.06736884417461127,0.16277923076179973,0.06748803713382204,0.16277923076179973
429589,0.06867964803510213,0.13094056752254862,0.032591777800449875,0.13094056752254862
429590,0.11958045941558697,0.07814587997500257,0.4721990621362652,0.4721990621362652
429591,0.10913374830789609,0.677827949725442,0.2648220185792221,0.677827949725442
429592,0.07079649427977748,0.11450744599151401,0.037936576118339255,0.11450744599151401
429593,0.06823246228529617,0.030610657500522626,0.02153999109163665,0.06823246228529617
429594,0.10292862251438985,0.2389437827759334,0.12652244611117835,0.2389437827759334
429595,0.09801512401565492,0.7930106178032355,0.07067502022319308,0.7930106178032355
429596,0.10753398230077378,0.048956637223688405,0.01021128334782815,0.10753398230077378
429597,0.07519651052431044,0.18614718811941974,0.029915417824328872,0.18614718811941974
429598,0.06261931789308126,0.22392394913666666,0.06392839316403873,0.22392394913666666
429599,0.15967332676347504,0.6485434172296171,0.22265370649328398,0.6485434172296171
429600,0.08387935426868122,0.5906690275744899,0.22574148976749417,0.5906690275744899
429601,0.11048485492606556,0.034846615438798766,0.12566145989210792,0.12566145989210792
429602,0.12613835174005525,0.5434530216483724,0.19612280052211728,0.5434530216483724
429603,0.06453163320391862,0.18993123424945382,0.04942667475109569,0.18993123424945382
429604,0.02060795308279496,0.009803954513356224,0.0013534776972009283,0.02060795308279496
429605,0.053489906102031574,0.015389539605935885,0.01515881691731615,0.053489906102031574
429606,0.0,0.0,0.0,0.0
429607,0.0,0.0,0.0,0.0
429608,0.0,0.0,0.0,0.0
429609,0.03212216969594795,0.028325774754346184,0.027453976687701484,0.03212216969594795
429610,0.06939441065767575,0.010835930016177858,0.010542851903286713,0.06939441065767575
429611,0.04752081348414014,0.36620293040070795,0.033913212372797874,0.36620293040070795
429612,0.13226970704839677,0.665615191633979,0.15776500215858613,0.665615191633979
429613,0.095075536163493,0.12038202591930158,0.0301219409160929,0.12038202591930158
429614,0.17364242447797854,0.047733648059788227,0.1395607108332634,0.17364242447797854
429615,0.1398806177076726,0.6987331526638529,0.05112125174883845,0.6987331526638529
429616,0.065879117830549,0.25845039283527477,0.22404004435872524,0.25845039283527477
429617,0.1093739297555275,0.047538421160350265,0.05359106091414851,0.1093739297555275
429618,0.1892594453632052,0.0742158320593928,0.13279937713972575,0.1892594453632052
429619,0.14643596350978466,0.13423633655931863,0.15206527720375473,0.15206527720375473
429620,0.1549155638704701,0.16646680525591942,0.16646725823031885,0.16646725823031885
429621,0.14840067567282414,0.3466310744421095,0.13968855431078261,0.3466310744421095
429622,0.11094563634013965,0.07399384230623797,0.2695912178033224,0.2695912178033224
429623,0.09115248452269532,0.08642070563010755,0.05138553821123618,0.09115248452269532
429624,0.0862907709930976,0.27962836480652875,0.015285303364514885,0.27962836480652875
429625,0.15311636352246774,0.07350890575504701,0.06670388267918388,0.15311636352246774
429626,0.11595071694914905,0.04756227650411052,0.033061531186240986,0.11595071694914905
429627,0.07819205939696154,0.7824889485569786,0.0644114006820632,0.7824889485569786
429628,0.06020256029352398,0.06507020582319988,0.03704676028377076,0.06507020582319988
429629,0.17127268315887687,0.05346620554983065,0.010785020488945092,0.17127268315887687
429630,0.05254274168503864,0.012969448869862612,0.003853165385336213,0.05254274168503864
429631,0.02774598735830172,0.005986719235010627,0.00891002601768045,0.02774598735830172
429632,0.040474846773209054,0.007759818636307022,0.007861640020055244,0.040474846773209054
429633,0.015018733138205882,0.010675947211516832,0.0020989907654907105,0.015018733138205882
429634,0.08667275041683153,0.1611658034167249,0.03709469469718599,0.1611658034167249
429635,0.08741305186863833,0.060952981993703,0.0730088478072428,0.08741305186863833
429636,0.17990354219142202,0.1381802397512064,0.026344482032928565,0.17990354219142202
429637,0.13620526867199123,0.4253364675634854,0.11350261966515367,0.4253364675634854
429638,0.10377959433478133,0.20998527748603155,0.177265510203097,0.20998527748603155
429639,0.23503034936417513,0.16061373105840818,0.1626087463875236,0.23503034936417513
429640,0.12143084648659665,0.21518478575782607,0.15921191940415844,0.21518478575782607
429641,0.15302541942806833,0.042860541319496744,0.02207070404853813,0.15302541942806833
429642,0.21741786096388938,0.08347139136525326,0.08335393314648624,0.21741786096388938
429643,0.12020933617830444,0.10083873994202448,0.06405869615582535,0.12020933617830444
429644,0.12023753783101578,0.037844422683083176,0.09762125199264228,0.12023753783101578
429645,0.0949399259475255,0.14074321663505973,0.16449313295031529,0.16449313295031529
429646,0.08209388207336608,0.2087472055921442,0.16818773441591403,0.2087472055921442
429647,0.08821126219706517,0.06080156350446194,0.04588923067976803,0.08821126219706517
429648,0.0814042712991472,0.07279985191485461,0.03832410359553228,0.0814042712991472
429649,0.07377095005693718,0.15143737856803371,0.03615902353330025,0.15143737856803371
429650,0.08468066718923324,1.6818353764091842,0.1700750165111358,1.6818353764091842
429651,0.026462029231609816,0.03826993050306542,0.025211034680841436,0.03826993050306542
429652,0.055739068135282344,2.054137195902164,0.02840598087690389,2.054137195902164
429653,0.0040716269597295485,0.0014705080652825059,0.00012687017778624632,0.0040716269597295485
429654,0.014556079627933143,0.08744855967078187,0.003927442914022122,0.08744855967078187
429655,0.0001247143253627852,0.0,1.575299306868302e-05,0.0001247143253627852
429656,0.0,0.0,0.0,0.0
429657,0.0,0.0,0.0,0.0
429658,0.0,0.0,8.169133745057328e-07,8.169133745057328e-07
429659,0.10641275889275181,0.057291260812475146,0.015608504243171013,0.10641275889275181
429660,0.09301756082756152,0.04558692139689921,0.1825481464085805,0.1825481464085805
429661,0.08298753935831331,0.11197276025053937,0.031643655280830484,0.11197276025053937
429662,0.046315043329222566,0.5594989576065635,0.058637193122941585,0.5594989576065635
429663,0.09560939366829711,0.1608745441486896,0.03576341964936449,0.1608745441486896
