0.000000 1.0000 0.0000 1.0000
0.010000 1.0000 0.0000 1.0000
0.020000 1.0000 0.0000 1.0000
0.030000 1.0000 0.0000 1.0000
0.040000 1.0000 0.0000 1.0000
0.050000 1.0000 0.0000 1.0000
0.060000 1.0000 0.0000 1.0000
0.070000 1.0000 0.0000 1.0000
0.080000 1.0000 0.0000 1.0000
0.090000 1.0000 0.0000 1.0000
0.100000 1.0000 0.0000 1.0000
0.110000 1.0000 0.0000 1.0000
0.120000 1.0000 0.0000 1.0000
0.130000 1.0000 0.0000 1.0000
0.140000 1.0000 0.0000 1.0000
0.150000 0.9984 0.0000 0.9947
0.160000 0.9984 0.0000 0.9947
0.170000 0.9984 0.0000 0.9947
0.180000 0.9984 0.0000 0.9947
0.190000 0.9964 0.0000 0.9894
0.200000 0.9964 0.0000 0.9894
0.210000 0.9964 0.0000 0.9894
0.220000 0.9964 0.0000 0.9894
0.230000 0.9957 0.0000 0.9880
0.240000 0.9957 0.0000 0.9880
0.250000 0.9949 0.0000 0.9854
0.260000 0.9946 0.0000 0.9841
0.270000 0.9942 0.0000 0.9827
0.280000 0.9934 0.0000 0.9801
0.290000 0.9934 0.0000 0.9801
0.300000 0.9930 0.0000 0.9788
0.310000 0.9914 0.0000 0.9734
0.320000 0.9900 0.0000 0.9695
0.330000 0.9888 0.0000 0.9655
0.340000 0.9873 0.0000 0.9602
0.350000 0.9839 0.0000 0.9495
0.360000 0.9785 0.0000 0.9309
0.370000 0.9743 0.0000 0.9190
0.380000 0.9709 0.0000 0.9097
0.390000 0.9647 0.0000 0.8938
0.400000 0.9612 0.0000 0.8831
0.410000 0.9600 0.0000 0.8792
0.420000 0.9571 0.0000 0.8712
0.430000 0.9486 0.0000 0.8446
0.440000 0.9388 0.0000 0.8181
0.450000 0.9275 0.0000 0.7888
0.460000 0.9250 0.0000 0.7835
0.470000 0.9197 0.0000 0.7703
0.480000 0.9146 0.0000 0.7556
0.490000 0.9084 0.0000 0.7397
0.500000 0.8872 0.0000 0.6786
0.510000 0.8770 0.0000 0.6494
0.520000 0.8647 0.0000 0.6268
0.530000 0.8474 0.0000 0.5896
0.540000 0.8421 0.0000 0.5777
0.550000 0.8409 0.0000 0.5737
0.560000 0.8338 0.0000 0.5538
0.570000 0.8282 0.0000 0.5458
0.580000 0.8129 0.0000 0.5086
0.590000 0.8074 0.0000 0.4993
0.600000 0.7975 0.0000 0.4781
0.610000 0.7820 0.0000 0.4422
0.620000 0.7655 0.0000 0.4077
0.630000 0.7597 0.0000 0.3971
0.640000 0.7488 0.0000 0.3798
0.650000 0.7404 0.0000 0.3639
0.660000 0.7335 0.0000 0.3533
0.670000 0.7256 0.0000 0.3400
0.680000 0.7190 0.0000 0.3293
0.690000 0.7120 0.0000 0.3161
0.700000 0.6973 0.0000 0.2975
0.710000 0.6902 0.0000 0.2855
0.720000 0.6747 0.0000 0.2656
0.730000 0.6684 0.0000 0.2563
0.740000 0.6615 0.0000 0.2483
0.750000 0.6501 0.0000 0.2364
0.760000 0.6338 0.0000 0.2205
0.770000 0.6226 0.0000 0.2098
0.780000 0.6081 0.0000 0.1979
0.790000 0.6033 0.0000 0.1912
0.800000 0.5988 0.0000 0.1859
0.810000 0.5899 0.0000 0.1780
0.820000 0.5839 0.0000 0.1713
0.830000 0.5744 0.0000 0.1647
0.840000 0.5605 0.0000 0.1541
0.850000 0.5463 0.0000 0.1448
0.860000 0.5378 0.0000 0.1394
0.870000 0.5147 0.0000 0.1275
0.880000 0.4907 0.0000 0.1155
0.890000 0.4684 0.0000 0.1023
0.900000 0.4441 0.0000 0.0876
0.910000 0.4287 0.0000 0.0810
0.920000 0.4256 0.0000 0.0797
0.930000 0.4117 0.0000 0.0730
0.940000 0.3964 0.0000 0.0677
0.950000 0.3847 0.0000 0.0624
0.960000 0.3505 0.0000 0.0505
0.970000 0.3163 0.0000 0.0398
0.980000 0.2926 0.0000 0.0332
0.990000 0.2541 0.0000 0.0252
