14652,1633,5 
14652,1969,3 
14652,2017,127 
14652,3685,4 
14652,10064,7 
14652,14641,268 
14652,16128,44 
14652,18870,3 
14652,460,119 
14652,2827,211 
14652,2503,33 
14652,4798,1 
14652,5146,1 
14652,9314,1 
14652,10186,1 
14652,14159,1 
14652,15571,1 
14652,16827,1 
14652,2528,1 
14652,20838,1 
14652,22619,40 
14652,9940,25 
14652,6025,5 
14652,16138,105 
14652,1164,11 
14652,1615,54 
14652,2030,70 
14652,11781,147 
14652,6706,21 
14652,16124,1 
14652,11931,1 
14652,6673,4 
14652,6679,18 
14652,11734,4 
14652,14643,5 
14652,1335,23 
14652,18697,35 
14652,21593,1 
14652,7733,7 
14652,18132,6 
14652,18687,1 
14652,22198,2 
14652,2832,3 
14652,9941,31 
14652,10652,4 
14652,10662,5 
14652,2833,13 
14652,14660,4 
14652,15436,5 
14652,14037,80 
14652,15328,19 
14652,15193,1 
14652,22534,7 
14652,2296,2 
14652,21131,2 
14652,3922,5 
14652,2812,1 
14652,14659,1 
14652,6,1 
14652,16237,15 
14652,16958,1 
14652,17501,1 
14652,17526,2 
14652,22197,34 
14652,9717,1 
14652,12703,1 
14652,14919,1 
14652,2141,7 
14652,13923,22 
14652,4023,7 
14652,18506,2 
14652,19116,1 
14652,2725,3 
14652,4980,4 
14652,17321,6 
14652,12024,4 
14652,13564,1 
14652,22199,14 
14652,21178,4 
14652,11336,25 
14652,205,1 
14652,15388,1 
14652,7093,2 
14652,8992,17 
14652,13173,1 
14652,3276,2 
14652,3592,3 
14652,9944,2 
14652,14544,2 
14652,14183,1 
14652,14936,1 
14652,2016,2 
14652,15933,2 
14652,18700,3 
14652,10312,2 
14652,386,1 
14652,285,12 
14652,4598,12 
14652,21526,3 
14652,4009,1 
14652,4596,1 
14652,7270,1 
14652,10252,2 
14652,889,52 
14652,11272,2 
14652,11706,17 
14652,1713,4 
14652,3151,5 
14652,12084,9 
14652,9164,5 
14652,12863,2 
14652,5595,25 
14652,8856,12 
14652,15013,4 
14652,2588,4 
14652,22622,20 
14652,1616,5 
14652,3912,1 
14652,6141,1 
14652,7435,7 
14652,11103,6 
14652,21403,4 
14652,2912,9 
14652,5455,2 
14652,3283,8 
14652,12049,1 
14652,2343,1 
14652,13344,1 
14652,18208,13 
14652,18584,8 
14652,19031,8 
14652,11741,9 
14652,9157,4 
14652,2584,1 
14652,7145,3 
14652,1949,20 
14652,11547,1 
14652,2108,1 
14652,6134,1 
14652,9586,7 
14652,10886,1 
14652,14497,1 
14652,15920,1 
14652,15963,1 
14652,18301,1 
14652,12395,6 
14652,12857,7 
14652,18802,7 
14652,20742,5 
14652,22956,3 
14652,16243,13 
14652,2800,3 
14652,10008,3 
14652,8407,1 
14652,7019,6 
14652,11731,1 
14652,11769,1 
14652,12249,1 
14652,17528,1 
14652,22235,1 
14652,7384,3 
14652,6980,4 
14652,14850,4 
14652,15935,1 
14652,14050,2 
14652,9189,1 
14652,11801,1 
14652,14460,2 
14652,18486,1 
14652,7652,1 
14652,10338,1 
14652,17915,1 
14652,22620,2 
14652,10076,6 
14652,4277,1 
14652,13142,1 
14652,16136,1 
14652,20858,4 
14652,20992,4 
14652,4396,1 
14652,18483,1 
14652,4431,1 
14652,7876,1 
14652,7925,1 
14652,9799,1 
14652,10318,7 
14652,5639,1 
14652,14608,3 
14652,15048,1 
14652,17366,1 
14652,17369,1 
14652,19676,1 
14652,371,1 
14652,927,1 
14652,21768,1 
14652,13871,1 
14652,10895,4 
14652,6257,1 
14652,3883,1 
14652,10664,1 
14652,7528,4 
14652,849,1 
14652,4468,1 
14652,6906,1 
14652,9803,1 
14652,12736,1 
14652,290,1 
14652,3600,1 
14652,7262,1 
14652,8880,1 
14652,10153,1 
14652,10268,1 
14652,10853,1 
14652,11367,1 
14652,11600,1 
14652,17326,2 
14652,18003,1 
14652,10115,13 
14652,22618,1 
14652,512,1 
14652,16555,1 
14652,21633,1 
14652,11108,3 
14652,17008,1 
14652,18069,1 
14652,2099,3 
14652,3368,1 
14652,1591,7 
14652,10675,6 
14652,12672,1 
