16179 7189 1.0
10212 10662 5.0
10212 889 1.0
10212 1130 1.0
10212 1384 1.0
10212 2940 1.0
10212 3117 1.0
10212 5630 1.0
10212 10115 1.0
10212 10652 1.0
10212 10658 1.0
10212 12040 1.0
10212 12048 1.0
10212 12422 1.0
10212 14956 1.0
10212 15506 1.0
10212 21711 1.0
10662 6225 1.0
10662 7719 1.0
10662 12877 1.0
3117 2955
3117 2490 1.0
3117 9795 5.0
3117 889 3.0
3117 12894 1.0
3117 5424
3117 12549 5.0
3117 2912 1.0
3117 1164 2.0
3117 17483 2.0
3117 2265 1.0
3117 9157 1.0
3117 14050 1.0
3117 14992 1.0
3117 16062 1.0
3117 7189 1.0
3117 14171
3117 2658 1.0
3117 18794
3117 12051
3117 4023 1.0
3117 1391 1.0
3117 2638 1.0
3117 2771 1.0
3117 15981 1.0
3117 18363 1.0
3117 2017 1.0
3117 6563 1.0
3117 7188 1.0
3117 21011 1.0
3117 1886 1.0
3117 6153 1.0
3117 20991 1.0
3117 7290 1.0
3117 19450 1.0
3117 17464
3117 1875 1.0
3117 1130 1.0
3117 1384 1.0
3117 2940 1.0
3117 5630 1.0
3117 10115 1.0
3117 10652 1.0
3117 10658 1.0
3117 12040 1.0
3117 12048 1.0
3117 12422 1.0
3117 14956 1.0
3117 15506 1.0
3117 21711 1.0
18883 19300 1.0
18883 23245 1.0
19300 23245 1.0
8872 4526 1.0
889 931
889 3632 1.0
889 7719 1.0
889 11600 1.0
889 12761 1.0
889 15373 1.0
889 17321 1.0
889 2588 1.0
889 12864 1.0
889 12882 1.0
889 11781 1.0
889 9289 1.0
889 9321 1.0
889 19426 1.0
889 20376 1.0
889 1130 1.0
889 1384 1.0
889 2940 1.0
889 5630 1.0
889 10115 1.0
889 10652 1.0
889 10658 1.0
889 12040 1.0
889 12048 1.0
889 12422 1.0
889 14956 1.0
889 15506 1.0
889 21711 1.0
2490 403 2.0
2490 2103 2.0
2490 2491 2.0
2490 3175 1.0
2490 9795 2.0
2490 10742 2.0
2490 14153 2.0
2490 15992 2.0
2490 15999 2.0
2490 12024 1.0
2490 18335
2490 1164 1.0
2490 2030 1.0
2490 2926 1.0
2490 9941 1.0
9795 403 2.0
9795 2103 2.0
9795 2491 2.0
9795 3175 1.0
9795 10742 2.0
9795 14153 2.0
9795 15992 2.0
9795 15999 2.0
9795 12894 1.0
9795 13344
9795 1391 1.0
9795 2638 1.0
9795 2771 1.0
9795 15981 1.0
9795 18363 1.0
9795 2017 1.0
9795 6563 1.0
9795 7188 1.0
9795 12549 1.0
9795 21011 1.0
9795 1875 1.0
18160 22622 1.0
22622 23148
4526 1007 1.0
4526 2848 1.0
4526 9065 1.0
4526 14376 1.0
4526 14460 1.0
13747 17326
13747 371
8868 10246 1.0
8868 20473 1.0
10246 20473 1.0
1335 3908 1.0
1335 13641 1.0
1335 20375 1.0
1335 21802 1.0
1335 4277 1.0
1335 14109 1.0
1335 14919 1.0
1335 17256 1.0
1335 10334 1.0
1335 10336 1.0
1335 18407 1.0
1335 21804 1.0
1335 22619 1.0
3908 13641 1.0
3908 20375 1.0
3908 21802 1.0
13641 20375 1.0
13641 21802 1.0
20375 21802 1.0
2265 5927
2265 9157 1.0
2265 14050 1.0
2265 14992 1.0
2265 16062 1.0
11479 4023 2.0
11479 5047 1.0
11479 22619 1.0
11479 1052 1.0
11479 1603 1.0
11479 21311 1.0
7188 2017 1.0
7188 6563 1.0
7188 12549 1.0
7188 21011 1.0
6225 7719 1.0
6225 12877 1.0
7719 12877 1.0
7719 3632 1.0
7719 11600 1.0
7719 12761 1.0
7719 15373 1.0
7719 17321 1.0
7719 499 1.0
7719 2992 1.0
7719 10135 1.0
22619 4023 1.0
22619 5047 1.0
22619 10334 1.0
22619 10336 1.0
22619 18407 1.0
22619 21804 1.0
403 2103 2.0
403 2491 2.0
403 3175 1.0
403 10742 2.0
403 14153 2.0
403 15992 2.0
403 15999 2.0
2103 2491 2.0
2103 3175 1.0
2103 10742 2.0
2103 14153 2.0
2103 15992 2.0
2103 15999 2.0
2491 3175 1.0
2491 10742 2.0
2491 14153 2.0
2491 15992 2.0
2491 15999 2.0
3175 10742 1.0
3175 14153 1.0
3175 15992 1.0
3175 15999 1.0
10742 14153 2.0
10742 15992 2.0
10742 15999 2.0
14153 15992 2.0
