5595,14652,25 
5595,2017,8 
5595,14641,25 
5595,16128,4 
5595,460,7 
5595,2827,25 
5595,11781,8 
5595,16138,5 
5595,1615,4 
5595,2030,4 
5595,22197,5 
5595,8856,4 
5595,1949,4 
8856,14652,12 
8856,2017,6 
8856,14641,9 
8856,460,5 
8856,2827,8 
8856,22619,5 
8856,11781,6 
8856,16138,5 
8856,2030,3 
8856,6679,3 
8856,22197,14 
8856,1949,4 
3151,14652,5 
3151,2017,3 
3151,14641,3 
3151,11781,3 
3151,14037,5 
3151,1713,5 
18870,14652,3 
18870,3685,3 
18870,14641,3 
21526,14652,3 
21526,1615,3 
21526,14037,3 
11734,14652,4 
11734,2017,4 
11734,14641,4 
11734,11781,4 
11734,6673,4 
11734,6679,4 
11734,14643,4 
12084,14652,9 
12084,2017,9 
12084,14641,10 
12084,16138,3 
12084,1615,3 
12084,14037,3 
1591,14652,7 
1591,2017,3 
1591,14641,6 
1591,16128,4 
1591,460,7 
1591,2827,3 
1591,22619,6 
1591,10675,6 
6025,14652,5 
6025,14641,5 
6025,460,5 
6025,2827,3 
14660,14652,4 
14660,14641,3 
14660,460,4 
14660,2827,3 
14660,11781,3 
14660,2833,5 
14660,15436,5 
17321,14652,6 
17321,4980,4 
17321,17326,3 
9941,14652,31 
9941,2017,24 
9941,14641,21 
9941,16128,3 
9941,460,16 
9941,2827,20 
9941,2503,18 
9941,22619,3 
9941,11781,14 
9941,18697,5 
9941,889,8 
9941,11336,4 
9941,9940,5 
9941,16138,9 
9941,1615,10 
9941,2030,20 
9941,6679,3 
9941,1335,4 
9941,14037,22 
9941,285,4 
9941,1616,3 
9941,2833,3 
9941,22197,6 
9941,11706,4 
9941,12857,3 
9941,18208,3 
9941,9586,3 
9941,1949,4 
1969,14652,3 
1969,2017,3 
1949,14652,20 
1949,2017,17 
1949,14641,13 
1949,16128,4 
1949,460,7 
1949,2827,9 
1949,22619,4 
1949,11781,10 
1949,889,6 
1949,9940,5 
1949,16138,4 
1949,1164,3 
1949,2030,9 
1949,6679,3 
1949,2833,3 
1949,14037,3 
1949,22197,5 
1949,21949,4 
2503,14652,33 
2503,2017,23 
2503,14641,25 
2503,16128,3 
2503,460,16 
2503,2827,20 
2503,2030,21 
2503,6706,7 
2503,11781,16 
2503,1615,8 
2503,14037,21 
2503,9940,5 
2503,18208,6 
2503,18697,5 
2503,889,7 
2503,11706,4 
2503,12395,5 
2503,16138,8 
2503,18802,4 
2503,22197,5 
2503,22956,3 
2503,22619,3 
2503,9586,3 
2503,11336,4 
2503,1335,4 
2833,14652,13 
2833,2017,4 
2833,14641,12 
2833,16128,8 
2833,460,8 
2833,2827,9 
2833,11781,11 
2833,889,3 
2833,16138,4 
2833,15436,5 
2833,15013,4 
2833,1616,3 
2833,11103,4 
2833,18700,4 
10675,14652,6 
10675,2017,3 
10675,14641,6 
10675,16128,4 
10675,460,6 
10675,2827,3 
10675,22619,6 
11781,14652,147 
11781,2017,58 
11781,10064,3 
11781,14641,105 
11781,16128,17 
11781,460,44 
11781,2827,69 
11781,22619,19 
11781,18697,20 
11781,1164,5 
11781,2030,35 
11781,9940,9 
11781,6706,5 
11781,6673,4 
11781,6679,11 
11781,14643,5 
11781,7733,4 
11781,18132,4 
11781,14037,28 
11781,15328,3 
11781,16138,22 
11781,1615,20 
11781,22534,7 
11781,21178,4 
11781,285,7 
11781,4598,8 
11781,16237,7 
11781,11336,12 
11781,15013,5 
11781,8992,10 
11781,1616,3 
11781,7435,3 
11781,11103,4 
11781,13923,5 
11781,21403,4 
11781,22197,19 
11781,3283,7 
11781,22199,3 
11781,18208,10 
11781,18584,6 
11781,19031,6 
11781,9157,3 
11781,18684,3 
11781,889,21 
11781,2588,3 
11781,11706,9 
11781,12395,4 
11781,12857,3 
11781,18802,5 
11781,20742,5 
11781,1335,7 
11781,7019,5 
11781,4023,4 
11781,11741,7 
11781,22622,8 
11781,10076,3 
11781,20858,3 
11781,20992,3 
11781,10115,4 
11781,11108,3 
11781,1713,3 
11781,3922,4 
11781,11479,4 
11781,3905,3 
11781,16243,4 
11781,15436,3 
11781,12858,4 
11781,18700,3 
9586,14652,7 
9586,2017,4 
9586,14641,4 
9586,460,5 
9586,2827,3 
9586,16138,3 
9586,2030,4 
9586,14037,5 
6673,14652,4 
6673,2017,4 
6673,14641,4 
6673,6679,4 
6673,14643,4 
7733,14652,7 
14037,14652,80 
14037,2017,38 
14037,14641,46 
14037,16128,3 
14037,460,23 
14037,2827,28 
14037,22619,8 
14037,18697,8 
14037,889,12 
14037,4598,3 
14037,11336,12 
14037,9940,5 
14037,6706,5 
14037,16138,17 
14037,1615,14 
14037,2030,26 
14037,1335,3 
14037,8992,5 
14037,15328,7 
14037,285,5 
14037,16237,3 
14037,11706,6 
14037,1713,5 
14037,18208,5 
14037,18584,3 
14037,19031,3 
14037,22197,8 
14037,16243,3 
14037,10115,3 
14037,13923,3 
14037,10318,3 
14037,18802,3 
14037,10895,3 
9157,14652,4 
11479,14652,5 
11479,2827,4 
11479,18697,3 
22534,14652,7 
22534,2827,3 
15436,14652,5 
15436,14641,3 
15436,460,4 
15436,2827,3 
13406,14652,3 
12024,14652,4 
4023,14652,7 
4023,2017,4 
4023,14641,5 
4023,460,5 
4023,2827,6 
4023,2030,3 
8992,14652,17 
8992,2017,3 
8992,14641,5 
8992,2827,3 
8992,22619,9 
8992,18697,3 
8992,889,3 
8992,11336,3 
8992,7145,3 
8992,22197,4 
20992,14652,4 
20992,14641,4 
20992,16128,4 
20992,20858,4 
10662,14652,5 
10662,10652,6 
11108,14652,3 
1615,14652,54 
1615,2017,22 
1615,14641,36 
1615,16128,4 
1615,460,15 
1615,2827,32 
1615,18697,7 
1615,889,3 
1615,4598,4 
1615,11336,6 
1615,9940,5 
1615,16138,13 
1615,1164,4 
1615,2832,4 
1615,2030,10 
1615,285,4 
1615,16237,3 
1615,22197,7 
1615,22199,3 
1615,16243,3 
1615,20742,3 
12858,14652,6 
12858,22619,3 
