Network 	 $\epsilon_{\ccdf}$  	  $\epsilon_{\knn}$ 	 $\epsilon_{\cco}$ 
429576 	 0.3735 	 0.4013 	 0.2771 
429577 	 0.3365 	 0.3785 	 0.2662 
429578 	 0.3462 	 0.5043 	 0.2628 
429579 	 0.3814 	 0.3377 	 0.3403 
429580 	 0.4860 	 0.5135 	 0.4735 
429581 	 0.4646 	 0.5431 	 0.5207 
429582 	 0.4190 	 0.4413 	 0.4720 
429583 	 0.2292 	 0.2442 	 0.2493 
429584 	 0.4102 	 0.3948 	 0.4022 
429585 	 0.5320 	 0.5549 	 0.5973 
429586 	 0.3955 	 0.3764 	 0.2665 
429587 	 0.3848 	 0.2235 	 0.2501 
429588 	 0.3745 	 0.3783 	 0.2739 
429589 	 0.2721 	 0.3193 	 0.2493 
429590 	 0.2950 	 0.3124 	 0.2190 
429591 	 0.4071 	 0.3176 	 0.3495 
429592 	 0.4715 	 0.3605 	 0.4282 
429593 	 0.4589 	 0.3681 	 0.4509 
429594 	 0.5099 	 0.3533 	 0.4252 
429595 	 0.4538 	 0.3131 	 0.4082 
429596 	 0.4236 	 0.3190 	 0.3289 
429597 	 0.5614 	 0.3863 	 0.5380 
429598 	 0.5181 	 0.4060 	 0.4079 
429599 	 0.4614 	 0.3953 	 0.3426 
429600 	 0.2997 	 0.3449 	 0.1970 
429601 	 0.2710 	 0.2232 	 0.1799 
429602 	 0.3684 	 0.3249 	 0.2749 
429603 	 0.2801 	 0.2405 	 0.1164 
429604 	 0.5483 	 0.5625 	 0.4216 
429605 	 0.2946 	 0.4567 	 0.3893 
429606 	 0.0000 	 0.0000 	 0.0000 
429607 	 0.3737 	 0.4272 	 0.4144 
429608 	 0.4071 	 0.4512 	 0.4516 
429609 	 0.4229 	 0.3588 	 0.2997 
429610 	 0.3283 	 0.3134 	 0.2903 
429611 	 0.3311 	 0.3546 	 0.2239 
429612 	 0.2612 	 0.3090 	 0.1726 
429613 	 0.3570 	 0.2131 	 0.2322 
429614 	 0.3606 	 0.2830 	 0.2249 
429615 	 0.4382 	 0.2782 	 0.2926 
429616 	 0.5153 	 0.3273 	 0.3398 
429617 	 0.5840 	 0.5063 	 0.6582 
429618 	 0.6180 	 0.5219 	 0.5079 
429619 	 0.4498 	 0.3128 	 0.3628 
429620 	 0.3477 	 0.3392 	 0.2060 
429621 	 0.3065 	 0.2405 	 0.1520 
429622 	 0.4576 	 0.2384 	 0.1885 
429623 	 0.6350 	 0.1301 	 0.0945 
429624 	 0.5007 	 0.1205 	 0.1006 
429625 	 0.4731 	 0.2675 	 0.2015 
429626 	 0.3263 	 0.3780 	 0.1979 
429627 	 0.1669 	 0.0959 	 0.0924 
429628 	 0.3142 	 0.2217 	 0.1732 
429629 	 0.3284 	 0.4827 	 0.2421 
429630 	 0.2461 	 0.3841 	 0.2816 
429631 	 0.2558 	 0.2986 	 0.1860 
429632 	 0.2844 	 0.3339 	 0.2936 
429633 	 0.2485 	 0.3139 	 0.2579 
429634 	 0.6631 	 0.5015 	 0.5559 
429635 	 0.5535 	 0.4503 	 0.4122 
429636 	 0.5336 	 0.4457 	 0.3476 
429637 	 0.4195 	 0.3813 	 0.3241 
429638 	 0.4396 	 0.4356 	 0.3106 
429639 	 0.4283 	 0.3200 	 0.3081 
429640 	 0.2263 	 0.3385 	 0.1596 
429641 	 0.2657 	 1.1364 	 0.3093 
429642 	 0.2164 	 1.8457 	 0.1489 
429643 	 0.3415 	 0.3625 	 0.2873 
429644 	 0.5855 	 0.4095 	 0.4685 
429645 	 0.5481 	 0.4834 	 0.5900 
429646 	 0.5635 	 0.4018 	 0.6553 
429647 	 0.3303 	 0.4794 	 0.3059 
429648 	 0.6483 	 0.6070 	 0.6059 
429649 	 0.7258 	 0.6808 	 0.7146 
429650 	 0.5975 	 0.6099 	 0.6212 
429651 	 0.5815 	 0.5056 	 0.7256 
429652 	 0.5541 	 0.4772 	 0.7549 
429653 	 0.3466 	 0.3931 	 0.3692 
429654 	 0.4749 	 0.5098 	 0.5166 
429655 	 0.3215 	 0.3749 	 0.3802 
429656 	 0.2437 	 0.3009 	 0.2871 
429657 	 0.2706 	 0.3473 	 0.2504 
429658 	 0.2862 	 0.2216 	 0.2278 
429659 	 0.2203 	 0.2752 	 0.2070 
429660 	 0.3667 	 0.3858 	 0.2419 
429661 	 0.3298 	 0.3284 	 0.2362 
429662 	 0.4851 	 0.4211 	 0.5007 
429663 	 0.4637 	 0.3296 	 0.4391 
429664 	 0.7042 	 0.4632 	 0.5427 
429665 	 0.6993 	 0.5155 	 0.5897 
429666 	 0.4786 	 0.4442 	 0.5615 
429667 	 0.4694 	 0.4534 	 0.5020 
429668 	 0.4405 	 0.4406 	 0.3511 
429669 	 0.4755 	 0.5015 	 0.4035 
