Network 	 $\epsilon_{\ccdf}$  	  $\epsilon_{\knn}$ 	 $\epsilon_{\cco}$ 
429576 	 0.3691 	 0.5009 	 0.2461 
429577 	 0.4220 	 0.4179 	 0.3299 
429578 	 0.4159 	 0.4903 	 0.3770 
429579 	 0.5127 	 0.4722 	 0.4926 
429580 	 0.5048 	 0.4221 	 0.4452 
429581 	 0.0500 	 0.0500 	 0.0000 
429582 	 0.1010 	 0.1429 	 0.1239 
429583 	 0.0500 	 0.0500 	 0.0250 
429584 	 0.1351 	 0.1252 	 0.1252 
429585 	 0.3593 	 0.3663 	 0.3936 
429586 	 0.5163 	 0.3658 	 0.6203 
429587 	 0.2438 	 0.1982 	 0.1969 
429588 	 0.4207 	 0.3856 	 0.5305 
429589 	 0.3509 	 0.3452 	 0.2705 
429590 	 0.3868 	 0.4418 	 0.2925 
429591 	 0.5094 	 0.4784 	 1.2451 
429592 	 0.3849 	 0.4229 	 0.3541 
429593 	 0.4783 	 0.3824 	 0.4014 
429594 	 0.4696 	 0.4522 	 0.5421 
429595 	 0.5270 	 0.4269 	 0.4181 
429596 	 0.4466 	 0.3877 	 0.3480 
429597 	 0.5648 	 0.4440 	 0.5483 
429598 	 0.5883 	 0.5385 	 0.7813 
429599 	 0.5265 	 0.4438 	 0.5003 
429600 	 0.4199 	 0.3567 	 0.3345 
429601 	 0.2693 	 0.2379 	 0.1126 
429602 	 0.3366 	 0.2693 	 0.2519 
429603 	 0.3973 	 0.3178 	 0.3026 
429604 	 0.4505 	 0.5524 	 0.5153 
429605 	 0.3567 	 0.4525 	 0.4091 
429606 	 0.0000 	 0.0000 	 0.0000 
429608 	 0.4518 	 0.3073 	 0.3430 
429609 	 0.3297 	 0.3085 	 0.2962 
429610 	 0.5108 	 0.4115 	 0.3659 
429611 	 0.3748 	 0.5007 	 0.2905 
429612 	 0.2921 	 0.3584 	 0.2339 
429613 	 0.3663 	 0.3558 	 0.2578 
429614 	 0.5327 	 0.2817 	 0.3751 
429615 	 0.4949 	 0.3235 	 0.3185 
429616 	 0.4304 	 0.4357 	 0.3952 
429617 	 0.5704 	 0.4402 	 0.4880 
429618 	 0.6027 	 0.5537 	 0.5421 
429619 	 0.4815 	 0.3708 	 0.3600 
429620 	 0.2266 	 0.2810 	 0.2349 
429621 	 0.3291 	 0.2753 	 0.1562 
429622 	 0.2594 	 0.3044 	 0.1388 
429623 	 0.4831 	 0.1293 	 0.1130 
429624 	 0.5277 	 0.1299 	 0.1172 
429625 	 0.5021 	 0.1813 	 0.1887 
429626 	 0.2954 	 5.5915 	 0.2145 
429627 	 0.2092 	 0.1915 	 0.1589 
429628 	 0.3225 	 0.2250 	 0.1899 
429629 	 0.3069 	 0.3335 	 0.2387 
429630 	 0.3078 	 0.5139 	 0.3893 
429631 	 0.2419 	 0.3124 	 0.2805 
429632 	 0.4709 	 0.5673 	 0.5239 
429633 	 0.3564 	 0.4123 	 0.3376 
429634 	 0.3686 	 0.3522 	 0.3187 
429635 	 0.7165 	 0.5486 	 0.5983 
429636 	 0.4999 	 0.4220 	 0.3747 
429637 	 0.1920 	 0.1966 	 0.1479 
429638 	 0.4593 	 0.4525 	 0.3561 
429639 	 0.5616 	 0.6286 	 0.4427 
429640 	 0.2587 	 0.4276 	 0.1944 
429641 	 0.2753 	 0.3564 	 0.2247 
429642 	 0.3195 	 1.0767 	 0.2982 
429643 	 0.4226 	 0.3630 	 0.3495 
429644 	 0.3031 	 0.2839 	 0.2655 
429645 	 0.6013 	 0.5430 	 0.6532 
429646 	 0.5721 	 0.4451 	 0.5997 
429647 	 0.3209 	 0.3856 	 0.2726 
429648 	 0.3267 	 0.3894 	 0.3337 
429649 	 0.5642 	 0.7066 	 0.8748 
429650 	 0.6839 	 0.7867 	 0.8090 
429651 	 0.4833 	 0.4456 	 0.5810 
429652 	 0.5962 	 0.5266 	 0.6815 
429653 	 0.3014 	 0.3246 	 0.3289 
429654 	 0.2467 	 0.2484 	 0.3012 
429655 	 0.1096 	 0.1446 	 0.1354 
429656 	 0.0528 	 0.0744 	 0.0713 
429657 	 0.0000 	 0.0000 	 0.0000 
429658 	 0.4054 	 0.4758 	 0.4362 
429659 	 0.2488 	 0.2139 	 0.2463 
429660 	 0.3283 	 0.2594 	 0.2536 
429661 	 0.3155 	 0.3076 	 0.1829 
429662 	 0.3304 	 0.3090 	 0.2975 
429663 	 0.4524 	 0.4309 	 0.6625 
429664 	 0.4930 	 0.4303 	 0.4241 
429665 	 0.3545 	 0.3536 	 0.3308 
429666 	 0.5377 	 0.4698 	 0.4871 
429667 	 0.4808 	 0.4843 	 0.4613 
429668 	 0.4483 	 0.5027 	 0.4658 
429669 	 0.6011 	 0.5232 	 0.5483 
429670 	 0.5049 	 0.4176 	 0.4284 
