Network 	 $\epsilon_{\ccdf}$  	  $\epsilon_{\knn}$ 	 $\epsilon_{\cco}$ 
429576 	 0.2832 	 0.4389 	 0.2054 
429577 	 0.2676 	 0.2952 	 0.1571 
429578 	 0.3440 	 0.3393 	 0.2753 
429579 	 0.3470 	 0.2944 	 0.2846 
429580 	 0.4759 	 0.5097 	 0.4964 
429581 	 0.3753 	 0.3628 	 0.3937 
429582 	 0.4821 	 0.4575 	 0.5019 
429583 	 0.5012 	 0.4424 	 0.4733 
429584 	 0.3767 	 0.3719 	 0.2660 
429585 	 0.3754 	 0.2969 	 0.2523 
429586 	 0.3333 	 0.3070 	 0.3326 
429587 	 0.2799 	 0.2774 	 0.2155 
429588 	 0.2319 	 0.3032 	 0.2086 
429589 	 0.2782 	 0.4927 	 0.2189 
429590 	 0.2147 	 0.3204 	 0.1393 
429591 	 0.3754 	 0.2665 	 0.2587 
429592 	 0.3921 	 0.2332 	 0.3380 
429593 	 0.3795 	 0.2242 	 0.3537 
429594 	 0.3828 	 0.7575 	 0.3469 
429595 	 0.4279 	 0.2237 	 0.2194 
429596 	 0.3209 	 0.2726 	 0.1963 
429597 	 0.3833 	 0.4591 	 0.2624 
429598 	 0.3510 	 0.2876 	 0.2380 
429599 	 0.3223 	 0.2338 	 0.2358 
429600 	 0.2676 	 0.3120 	 0.1624 
429601 	 0.2857 	 0.4373 	 0.2243 
429602 	 0.3447 	 0.3258 	 0.2356 
429603 	 0.2966 	 0.2167 	 0.1946 
429604 	 0.4694 	 0.4666 	 0.3417 
429605 	 0.3479 	 0.3373 	 0.2495 
429606 	 0.3484 	 0.2987 	 0.2158 
429607 	 0.3255 	 0.4640 	 0.1924 
429608 	 0.3077 	 0.3196 	 0.2926 
429609 	 0.3272 	 0.3834 	 0.2171 
429610 	 0.3557 	 0.4280 	 0.2452 
429611 	 0.3131 	 0.2191 	 0.2009 
429612 	 0.2197 	 0.1798 	 0.1699 
429613 	 0.2914 	 0.2316 	 0.2102 
429614 	 0.4054 	 0.2446 	 0.1976 
429615 	 0.5713 	 0.3269 	 0.3726 
429616 	 0.5076 	 0.3656 	 0.3790 
429617 	 0.5198 	 0.4226 	 0.4469 
429618 	 0.3955 	 0.2608 	 0.2434 
429619 	 0.2405 	 1.4004 	 0.1215 
429620 	 0.3146 	 0.2571 	 0.1725 
429621 	 0.5034 	 0.3230 	 0.1705 
429622 	 0.4257 	 0.1096 	 0.0928 
429623 	 0.4529 	 0.1086 	 0.0861 
429624 	 0.5390 	 0.2543 	 0.1685 
429625 	 0.3030 	 0.1168 	 0.1027 
429626 	 0.2468 	 0.1712 	 0.1174 
429627 	 0.2502 	 0.3121 	 0.1432 
429628 	 0.2380 	 0.2779 	 0.1057 
429629 	 0.2541 	 0.2358 	 0.1887 
429630 	 0.1554 	 0.2325 	 0.1641 
429631 	 0.1046 	 0.1564 	 0.0914 
429632 	 0.6587 	 0.4460 	 0.5024 
429633 	 0.5512 	 0.3612 	 0.3223 
429634 	 0.5139 	 0.2444 	 0.2290 
429635 	 0.4905 	 0.3823 	 0.1909 
429636 	 0.4956 	 0.3228 	 0.1873 
429637 	 0.3203 	 0.3173 	 0.1565 
429638 	 0.3314 	 0.2801 	 0.2222 
429639 	 0.3659 	 0.4859 	 0.2296 
429640 	 0.2722 	 0.3385 	 0.1699 
429641 	 0.2819 	 0.4357 	 0.1382 
429642 	 0.4031 	 0.3013 	 0.3036 
429643 	 0.4360 	 0.3180 	 0.3320 
429644 	 0.4002 	 0.2464 	 0.3010 
429645 	 0.5274 	 0.3503 	 0.4657 
429646 	 0.6474 	 0.4875 	 0.5543 
429647 	 0.6541 	 0.4791 	 0.6070 
429648 	 0.6410 	 0.5325 	 0.6068 
429649 	 0.6223 	 0.5851 	 0.6365 
429650 	 0.5893 	 0.5161 	 0.5979 
429651 	 0.6232 	 0.4734 	 0.6636 
429652 	 0.5198 	 0.4904 	 0.5812 
429653 	 0.4858 	 0.5846 	 0.5226 
429654 	 0.5255 	 0.5372 	 0.6120 
429655 	 0.5052 	 0.3733 	 0.4253 
429656 	 0.3443 	 0.3835 	 0.3084 
429657 	 0.3184 	 0.3527 	 0.2800 
429658 	 0.2560 	 0.2312 	 0.2231 
429659 	 0.2407 	 0.2898 	 0.1453 
429660 	 0.3554 	 0.2922 	 0.4244 
429661 	 0.3811 	 0.3029 	 0.4239 
429662 	 0.6790 	 0.4327 	 0.6095 
429663 	 0.6887 	 0.5257 	 0.6470 
429664 	 0.6684 	 0.8032 	 0.5430 
429665 	 0.8098 	 0.5041 	 0.6577 
429666 	 0.7646 	 0.4921 	 1.2163 
429667 	 0.3976 	 0.3555 	 0.3065 
