Network 	 $\epsilon_{\ccdf}$  	  $\epsilon_{\knn}$ 	 $\epsilon_{\cco}$ 
394669 	 0.3779 	 0.3569 	 0.2792 
394670 	 0.2771 	 0.4234 	 0.1950 
394671 	 0.4743 	 0.3075 	 0.1933 
394672 	 0.6695 	 0.2780 	 0.2402 
394673 	 0.7721 	 0.3856 	 0.3791 
394674 	 0.5948 	 0.5999 	 0.4165 
394675 	 0.6228 	 0.4978 	 0.6060 
394676 	 0.5824 	 0.4256 	 0.4835 
394677 	 0.6207 	 0.4209 	 0.4925 
394678 	 0.1683 	 0.3351 	 0.0961 
394679 	 0.4963 	 0.6294 	 0.4385 
394680 	 0.4533 	 0.4885 	 0.5052 
394681 	 0.3698 	 0.4551 	 0.4506 
394682 	 0.1929 	 0.2433 	 0.2371 
394683 	 0.0500 	 0.0500 	 0.0500 
394684 	 0.0509 	 0.1502 	 0.1174 
394685 	 0.4675 	 0.4988 	 0.5774 
394686 	 0.5897 	 0.6150 	 0.5125 
394687 	 0.6414 	 0.4867 	 0.5116 
394688 	 0.6128 	 0.4376 	 0.4755 
394689 	 0.6869 	 0.4239 	 0.4240 
394690 	 0.7312 	 0.5299 	 0.3901 
394691 	 0.3725 	 0.4169 	 0.3091 
394692 	 0.3510 	 0.3901 	 0.2666 
394693 	 0.2957 	 0.4111 	 0.2126 
394694 	 0.2442 	 0.3443 	 0.1382 
394695 	 0.2684 	 0.3748 	 0.2433 
394696 	 0.3240 	 0.3721 	 0.2464 
394697 	 0.3622 	 0.4867 	 0.2968 
394698 	 0.4496 	 0.9575 	 0.3089 
394699 	 0.5837 	 0.5164 	 0.4942 
394700 	 0.5153 	 0.3734 	 0.3472 
394701 	 0.5142 	 0.4480 	 0.4608 
394702 	 0.4175 	 0.5573 	 0.3647 
394703 	 0.4684 	 0.4666 	 0.4913 
394704 	 0.4573 	 0.5048 	 0.4931 
394705 	 0.3163 	 0.2938 	 0.3498 
394706 	 0.3687 	 0.4009 	 0.4138 
394707 	 0.4003 	 0.5560 	 0.6023 
394708 	 0.1484 	 0.1734 	 0.1950 
394709 	 0.2002 	 0.2337 	 0.2286 
394710 	 0.4060 	 0.5776 	 0.4933 
394711 	 0.4161 	 0.5699 	 0.4595 
394712 	 0.4539 	 0.6323 	 0.3599 
394713 	 0.4160 	 0.4080 	 0.3261 
394714 	 0.4524 	 0.5495 	 0.3343 
394715 	 0.5535 	 0.4390 	 0.3835 
394716 	 0.5517 	 0.3708 	 0.2889 
394717 	 0.3146 	 0.3599 	 0.1995 
394718 	 0.4312 	 0.3069 	 0.2745 
394719 	 0.4535 	 0.3255 	 0.3088 
394720 	 0.1638 	 0.2051 	 0.1063 
394721 	 0.1578 	 0.2828 	 0.1293 
394722 	 0.2618 	 0.3304 	 0.1973 
394723 	 0.3262 	 0.4060 	 0.2209 
394724 	 0.2941 	 0.4405 	 0.2065 
394725 	 0.6651 	 0.3741 	 0.4632 
394726 	 0.6457 	 0.4888 	 0.6078 
394727 	 0.3729 	 0.3129 	 0.3200 
394728 	 0.3007 	 0.3706 	 0.3677 
394729 	 0.3915 	 0.4356 	 0.5379 
394730 	 0.3648 	 0.3821 	 0.3738 
394731 	 0.1873 	 0.2132 	 0.2047 
394732 	 0.4185 	 0.5205 	 0.4172 
394733 	 0.5658 	 0.6185 	 0.5324 
394734 	 0.3625 	 0.4417 	 0.4509 
394735 	 0.4771 	 0.4603 	 0.4470 
394736 	 0.5658 	 0.4659 	 0.4330 
394737 	 0.4492 	 0.6880 	 0.3701 
394738 	 0.4164 	 0.5560 	 0.3345 
394739 	 0.5526 	 0.5363 	 0.3606 
394740 	 0.5452 	 0.6158 	 0.5278 
394741 	 0.6505 	 0.7127 	 0.5578 
394742 	 0.5781 	 0.4255 	 0.6569 
394743 	 0.3090 	 0.3840 	 0.2227 
394744 	 0.2953 	 0.4329 	 0.2478 
394745 	 0.3017 	 0.5030 	 0.2711 
394746 	 0.4389 	 0.3252 	 0.3271 
394747 	 0.5008 	 0.4078 	 0.3877 
394748 	 0.5198 	 0.3645 	 0.5013 
394749 	 0.5589 	 0.4135 	 0.5410 
394750 	 0.4535 	 0.3867 	 0.3960 
394751 	 0.4297 	 0.4318 	 0.4096 
394752 	 0.3330 	 0.4515 	 0.4164 
394753 	 0.0500 	 0.0500 	 0.0250 
394756 	 0.2836 	 0.2996 	 0.2375 
394757 	 0.4998 	 0.5274 	 0.5084 
394758 	 0.4713 	 0.4003 	 0.4188 
394759 	 0.4043 	 0.4969 	 0.4556 
394760 	 0.4319 	 0.4764 	 0.3951 
394761 	 0.4579 	 0.5137 	 0.4314 
394762 	 0.4084 	 0.4097 	 0.3920 
