hora,clave_max
436983,18.0
436984,24.0
436985,31.0
436986,33.0
436987,32.0
436988,31.0
436989,29.0
436990,36.0
436991,35.0
436992,35.0
436993,61.0
436994,58.0
436995,32.0
436996,20.0
436997,22.0
436998,16.0
436999,41.0
437000,43.0
437001,67.0
437002,71.0
437003,51.0
437004,104.0
437005,124.0
437006,51.0
437007,29.0
437008,32.0
437009,30.0
437010,26.0
437011,40.0
437012,73.0
437013,29.0
437014,56.0
437015,45.0
437016,40.0
437017,47.0
437018,40.0
437019,38.0
437020,32.0
437021,22.0
437022,15.0
437023,46.0
437024,48.0
437025,82.0
437026,143.0
437027,150.0
437028,126.0
437029,78.0
437030,46.0
437031,54.0
437032,62.0
437033,91.0
437034,104.0
437035,37.0
437036,49.0
437037,56.0
437038,56.0
437039,54.0
437040,60.0
437041,53.0
437042,57.0
437043,46.0
437044,52.0
437045,59.0
437046,34.0
437047,28.0
437048,48.0
437049,27.0
437050,32.0
437051,36.0
437052,52.0
437053,38.0
437054,49.0
437055,41.0
437056,32.0
437057,44.0
437058,40.0
437059,59.0
437060,56.0
437061,66.0
437062,54.0
437063,57.0
437064,62.0
437065,151.0
437066,178.0
437067,124.0
437068,39.0
437069,19.0
437070,17.0
437071,28.0
437072,45.0
437073,103.0
437074,173.0
437075,157.0
437076,36.0
437077,32.0
437078,27.0
