hora,clave_max
394669,20.0
394670,18.0
394671,32.0
394672,41.0
394673,43.0
394674,22.0
394675,33.0
394676,30.0
394677,25.0
394678,9.0
394679,8.0
394680,11.0
394681,9.0
394682,5.0
394683,5.0
394684,6.0
394685,14.0
394686,15.0
394687,18.0
394688,19.0
394689,18.0
394690,19.0
394691,12.0
394692,19.0
394693,11.0
394694,8.0
394695,11.0
394696,17.0
394697,17.0
394698,23.0
394699,47.0
394700,41.0
394701,35.0
394702,14.0
394703,19.0
394704,12.0
394705,5.0
394706,5.0
394707,5.0
394708,9.0
394709,9.0
394710,6.0
394711,6.0
394712,11.0
394713,22.0
394714,20.0
394715,27.0
394716,33.0
394717,26.0
394718,37.0
394719,40.0
394720,15.0
394721,15.0
394722,19.0
394723,17.0
394724,19.0
394725,28.0
394726,27.0
394727,30.0
394728,21.0
394729,10.0
394730,7.0
394731,8.0
394732,13.0
394733,11.0
394734,12.0
394735,14.0
394736,14.0
394737,5.0
394738,8.0
394739,14.0
394740,14.0
394741,14.0
394742,12.0
394743,8.0
394744,14.0
394745,13.0
394746,18.0
394747,21.0
394748,17.0
394749,20.0
394750,18.0
394751,21.0
394752,10.0
394753,7.0
394754,1.0
394755,3.0
394756,3.0
394757,8.0
394758,8.0
394759,8.0
394760,8.0
394761,9.0
394762,9.0
