Network 	 $\epsilon_{\ccdf}$  	  $\epsilon_{\knn}$ 	 $\epsilon_{\cco}$ 
394669 	 0.7694 	 0.2865 	 0.2262 
394670 	 0.5698 	 0.3233 	 0.2267 
394671 	 0.7065 	 0.3278 	 0.2736 
394672 	 0.7238 	 0.3340 	 0.2752 
394673 	 0.8309 	 0.5555 	 0.6255 
394674 	 0.6545 	 0.3890 	 0.4434 
394675 	 0.6224 	 0.4352 	 0.5331 
394676 	 0.6515 	 0.4656 	 0.4431 
394677 	 0.6109 	 0.5045 	 0.4847 
394678 	 0.2397 	 0.4987 	 0.1543 
394679 	 0.4128 	 0.5672 	 0.3957 
394680 	 0.4426 	 0.5205 	 0.4845 
394681 	 0.3852 	 0.7058 	 0.4166 
394682 	 0.1989 	 0.2652 	 0.2343 
394683 	 0.4609 	 0.5022 	 0.5046 
394684 	 0.5348 	 0.5676 	 0.5584 
394685 	 0.5724 	 0.5554 	 0.4447 
394686 	 0.5275 	 0.5618 	 0.3970 
394687 	 0.4534 	 0.4814 	 0.3494 
394688 	 0.4495 	 0.5175 	 0.3282 
394689 	 0.4192 	 0.6086 	 0.2797 
394690 	 0.4309 	 0.5706 	 0.3364 
394691 	 0.4089 	 0.7270 	 0.2906 
394692 	 0.4943 	 0.4277 	 0.3937 
394693 	 0.2671 	 0.4929 	 0.1924 
394694 	 0.2689 	 0.5616 	 0.2338 
394695 	 0.2679 	 1.7464 	 0.1811 
394696 	 0.3080 	 0.3108 	 0.1657 
394697 	 0.5131 	 0.4780 	 0.4655 
394698 	 0.5639 	 0.4187 	 0.4638 
394699 	 0.5033 	 0.4160 	 0.4108 
394700 	 0.5210 	 0.3910 	 0.3518 
394701 	 0.5588 	 0.3583 	 0.3649 
394702 	 0.4873 	 0.5091 	 0.3967 
394703 	 0.6566 	 0.4113 	 0.4849 
394704 	 0.5156 	 0.4372 	 0.4702 
394705 	 0.4421 	 0.4661 	 0.3894 
394706 	 0.2351 	 0.3251 	 0.3439 
394707 	 0.3700 	 0.4503 	 0.4615 
394708 	 0.3163 	 0.6576 	 0.3050 
394709 	 0.4670 	 0.5528 	 0.4276 
394710 	 0.3893 	 0.6941 	 0.4092 
394711 	 0.4322 	 0.5880 	 0.3355 
394712 	 0.4254 	 0.5949 	 0.3113 
394713 	 0.5347 	 1.3880 	 0.3406 
394714 	 0.4841 	 0.5958 	 0.2603 
394715 	 0.3983 	 0.4675 	 0.1972 
394716 	 0.4611 	 0.2379 	 0.1617 
394717 	 0.3714 	 0.2559 	 0.1552 
394718 	 0.3343 	 0.2155 	 0.1739 
394719 	 0.3107 	 0.2014 	 0.1600 
394720 	 0.2233 	 0.1796 	 0.1558 
394721 	 0.2198 	 0.1931 	 0.2044 
394722 	 0.2030 	 0.3326 	 0.1267 
394723 	 0.3295 	 0.3356 	 0.1632 
394724 	 0.3457 	 0.3203 	 0.1844 
394725 	 0.5006 	 0.2900 	 0.3257 
394726 	 0.3821 	 0.3014 	 0.3420 
394727 	 0.4548 	 0.3984 	 0.4252 
394728 	 0.4052 	 0.4825 	 0.4395 
394729 	 0.4171 	 0.5862 	 0.4614 
394730 	 0.4810 	 0.7272 	 0.5131 
394731 	 0.5416 	 0.5925 	 0.5150 
394732 	 0.4298 	 0.5346 	 0.4323 
394733 	 0.4863 	 0.5527 	 0.4322 
394734 	 0.5009 	 0.4583 	 0.4209 
394735 	 0.4875 	 0.5096 	 0.4336 
394736 	 0.2471 	 0.6592 	 0.2041 
394737 	 0.4496 	 0.4558 	 0.3684 
394738 	 0.4678 	 0.4298 	 0.3409 
394739 	 0.6788 	 0.4546 	 0.4940 
394740 	 0.4796 	 0.3668 	 0.4404 
394741 	 0.2964 	 0.3793 	 0.2009 
394742 	 0.2634 	 0.4043 	 0.1990 
394743 	 0.2620 	 0.3496 	 0.2152 
394744 	 0.2169 	 0.2747 	 0.1806 
394745 	 0.3595 	 0.3471 	 0.2684 
394746 	 0.3485 	 0.3319 	 0.2517 
394747 	 0.5151 	 0.3953 	 0.3149 
394748 	 0.5084 	 0.4151 	 0.4150 
394749 	 0.5472 	 0.3788 	 0.4645 
394750 	 0.5663 	 0.4523 	 0.4667 
394751 	 0.3958 	 0.4251 	 0.4062 
394752 	 0.3879 	 0.4911 	 0.4625 
394753 	 0.0500 	 0.0500 	 0.0500 
394754 	 0.2348 	 0.2077 	 0.1516 
394755 	 0.4998 	 0.5274 	 0.5084 
394756 	 0.5001 	 0.3957 	 0.4229 
394757 	 0.4164 	 0.3161 	 0.2953 
394758 	 0.4320 	 0.4606 	 0.3526 
394759 	 0.4565 	 0.5029 	 0.4995 
394760 	 0.5070 	 0.4716 	 0.4297 
