hora,clave_max
394669,45.0
394670,45.0
394671,51.0
394672,51.0
394673,66.0
394674,46.0
394675,41.0
394676,32.0
394677,29.0
394678,9.0
394679,9.0
394680,10.0
394681,10.0
394682,9.0
394683,14.0
394684,16.0
394685,16.0
394686,16.0
394687,18.0
394688,19.0
394689,15.0
394690,18.0
394691,19.0
394692,26.0
394693,11.0
394694,16.0
394695,18.0
394696,24.0
394697,48.0
394698,53.0
394699,48.0
394700,42.0
394701,35.0
394702,21.0
394703,21.0
394704,19.0
394705,5.0
394706,6.0
394707,9.0
394708,6.0
394709,12.0
394710,10.0
394711,18.0
394712,18.0
394713,30.0
394714,23.0
394715,26.0
394716,37.0
394717,41.0
394718,41.0
394719,40.0
394720,27.0
394721,18.0
394722,19.0
394723,28.0
394724,35.0
394725,25.0
394726,21.0
394727,29.0
394728,22.0
394729,10.0
394730,13.0
394731,11.0
394732,12.0
394733,18.0
394734,17.0
394735,17.0
394736,7.0
394737,18.0
394738,19.0
394739,22.0
394740,23.0
394741,15.0
394742,13.0
394743,15.0
394744,16.0
394745,22.0
394746,20.0
394747,20.0
394748,17.0
394749,22.0
394750,15.0
394751,21.0
394752,12.0
394753,6.0
394754,4.0
394755,8.0
394756,8.0
394757,8.0
394758,9.0
394759,9.0
394760,9.0
