Network 	 $\epsilon_{\ccdf}$  	  $\epsilon_{\knn}$ 	 $\epsilon_{\cco}$ 
429576 	 0.3073 	 0.3240 	 0.1903 
429577 	 0.2513 	 0.2864 	 0.1699 
429578 	 0.3460 	 0.3924 	 0.2431 
429579 	 0.3942 	 0.3267 	 0.3600 
429580 	 0.5069 	 0.4795 	 0.4893 
429581 	 0.4988 	 0.5775 	 0.5660 
429582 	 0.3992 	 0.4722 	 0.5063 
429583 	 0.4592 	 0.4152 	 0.3820 
429584 	 0.5807 	 0.5795 	 0.6398 
429585 	 0.3978 	 0.3496 	 0.2680 
429586 	 0.3511 	 0.2744 	 0.2152 
429587 	 0.3576 	 0.3627 	 0.2838 
429588 	 0.2516 	 0.2798 	 0.1543 
429589 	 0.2139 	 0.2641 	 0.1363 
429590 	 0.2644 	 0.3234 	 0.1957 
429591 	 0.3863 	 0.3259 	 0.3602 
429592 	 0.4340 	 0.3233 	 0.4544 
429593 	 0.3613 	 0.2503 	 0.3267 
429594 	 0.3855 	 0.2973 	 0.3938 
429595 	 0.4294 	 0.2693 	 0.3794 
429596 	 0.3881 	 0.2059 	 0.2181 
429597 	 0.4442 	 0.3542 	 0.3335 
429598 	 0.3939 	 0.3034 	 0.2707 
429599 	 0.3745 	 0.2797 	 0.2949 
429600 	 0.2635 	 0.2822 	 0.1649 
429601 	 0.2250 	 0.1796 	 0.1440 
429602 	 0.3512 	 0.3284 	 0.2295 
429603 	 0.3109 	 0.2386 	 0.2155 
429604 	 0.5266 	 0.5377 	 0.4017 
429605 	 0.2687 	 0.6483 	 0.2857 
429606 	 0.1398 	 0.1071 	 0.0756 
429607 	 0.3653 	 0.3286 	 0.2377 
429608 	 0.4139 	 0.3171 	 0.2736 
429609 	 0.3372 	 0.3694 	 0.2947 
429610 	 0.3057 	 0.3790 	 0.2115 
429611 	 0.3189 	 0.4234 	 0.2409 
429612 	 0.2965 	 0.1744 	 0.1515 
429613 	 0.3001 	 0.2162 	 0.2381 
429614 	 0.3681 	 0.2549 	 0.2824 
429615 	 0.5224 	 0.2803 	 0.2316 
429616 	 0.5010 	 0.4032 	 0.4324 
429617 	 0.5674 	 0.4673 	 0.5166 
429618 	 0.5636 	 0.4357 	 0.4783 
429619 	 0.3381 	 0.2855 	 0.1522 
429620 	 0.2367 	 0.2052 	 0.1340 
429621 	 0.3816 	 0.2863 	 0.1834 
429622 	 0.4415 	 0.1699 	 0.1380 
429623 	 0.4724 	 0.0957 	 0.0903 
429624 	 0.5925 	 0.1947 	 0.1270 
429625 	 0.3393 	 0.2131 	 0.1169 
429626 	 0.2290 	 0.1489 	 0.1088 
429627 	 0.2549 	 0.2126 	 0.1395 
429628 	 0.2910 	 0.1700 	 0.1563 
429629 	 0.3140 	 0.3621 	 0.2378 
429630 	 0.2023 	 0.2372 	 0.1416 
429631 	 0.1655 	 0.2119 	 0.1650 
429632 	 0.2069 	 0.2182 	 0.1724 
429633 	 0.5978 	 0.3961 	 0.4201 
429634 	 0.6158 	 0.3781 	 0.3678 
429635 	 0.6197 	 0.4467 	 0.3370 
429636 	 0.5072 	 0.3312 	 0.2471 
429637 	 0.3884 	 0.4864 	 0.2205 
429638 	 0.3943 	 0.3763 	 0.2702 
429639 	 0.3296 	 0.2383 	 0.2035 
429640 	 0.2616 	 0.4868 	 0.1887 
429641 	 0.2645 	 0.5957 	 0.1547 
429642 	 0.2539 	 0.6665 	 0.1866 
429643 	 0.4444 	 0.2826 	 0.3794 
429644 	 0.4860 	 0.3444 	 0.3411 
429645 	 0.5541 	 0.4417 	 0.6219 
429646 	 0.4300 	 0.3447 	 0.4115 
429647 	 0.7943 	 0.5401 	 0.6613 
429648 	 0.7046 	 0.5643 	 0.6791 
429649 	 0.6786 	 0.6463 	 0.7595 
429650 	 0.5696 	 0.5198 	 0.5989 
429651 	 0.6005 	 0.4883 	 0.7047 
429652 	 0.5681 	 0.4345 	 0.6303 
429653 	 0.5727 	 0.6696 	 0.6203 
429654 	 0.4064 	 0.4363 	 0.4834 
429655 	 0.4488 	 0.4656 	 0.4698 
429656 	 0.2829 	 0.3248 	 0.2490 
429657 	 0.3257 	 0.2697 	 0.2538 
429658 	 0.3354 	 0.3694 	 0.3072 
429659 	 0.2255 	 0.2052 	 0.1793 
429660 	 0.2337 	 0.2668 	 0.1361 
429661 	 0.3905 	 0.2741 	 0.4227 
429662 	 0.4109 	 0.3332 	 0.4189 
429663 	 0.6609 	 0.4813 	 0.6464 
429664 	 0.6830 	 0.5465 	 0.6067 
429665 	 0.6435 	 0.4084 	 0.5888 
429666 	 0.4449 	 0.3728 	 0.3497 
429667 	 0.4414 	 0.4136 	 0.3516 
429668 	 0.4171 	 0.4563 	 0.3543 
