hora,clave_max
436983,24.0
436984,32.0
436985,30.0
436986,39.0
436987,37.0
436988,46.0
436989,38.0
436990,48.0
436991,43.0
436992,83.0
436993,72.0
436994,54.0
436995,42.0
436996,23.0
436997,24.0
436998,40.0
436999,47.0
437000,67.0
437001,86.0
437002,67.0
437003,97.0
437004,151.0
437005,117.0
437006,52.0
437007,29.0
437008,42.0
437009,34.0
437010,44.0
437011,73.0
437012,73.0
437013,47.0
437014,52.0
437015,63.0
437016,68.0
437017,55.0
437018,48.0
437019,37.0
437020,30.0
437021,23.0
437022,48.0
437023,48.0
437024,82.0
437025,184.0
437026,184.0
437027,189.0
437028,125.0
437029,55.0
437030,45.0
437031,76.0
437032,78.0
437033,93.0
437034,80.0
437035,66.0
437036,59.0
437037,68.0
437038,78.0
437039,66.0
437040,70.0
437041,73.0
437042,60.0
437043,61.0
437044,55.0
437045,39.0
437046,32.0
437047,37.0
437048,47.0
437049,37.0
437050,40.0
437051,55.0
437052,50.0
437053,54.0
437054,54.0
437055,41.0
437056,39.0
437057,44.0
437058,54.0
437059,65.0
437060,69.0
437061,75.0
437062,72.0
437063,70.0
437064,158.0
437065,198.0
437066,196.0
437067,126.0
437068,50.0
437069,23.0
437070,28.0
437071,30.0
437072,113.0
437073,163.0
437074,199.0
437075,154.0
437076,38.0
437077,29.0
