network,success_ratio,avg_stretch,std_stretch,avg_topo_stretch,std_topo_stretch
9n,0.9499917039986726,1.5433208516149723,0.36487061955462663,1.0225271878347684,0.10363901822762144
ch,0.9550565249447038,1.3463076776534784,0.24567849143118256,1.0174586581177167,0.08955389681170223
nat,0.9832412873738335,1.3870513443183592,0.24046127862394492,1.023395635612366,0.10896317266893837
