hora,clave_max
436983,41.0
436984,39.0
436985,45.0
436986,44.0
436987,53.0
436988,55.0
436989,60.0
436990,93.0
436991,78.0
436992,76.0
436993,77.0
436994,60.0
436995,37.0
436996,43.0
436997,47.0
436998,46.0
436999,88.0
437000,89.0
437001,99.0
437002,178.0
437003,167.0
437004,167.0
437005,124.0
437006,68.0
437007,64.0
437008,62.0
437009,56.0
437010,61.0
437011,79.0
437012,75.0
437013,69.0
437014,89.0
437015,77.0
437016,73.0
437017,73.0
437018,41.0
437019,43.0
437020,48.0
437021,47.0
437022,83.0
437023,174.0
437024,194.0
437025,195.0
437026,196.0
437027,199.0
437028,128.0
437029,148.0
437030,90.0
437031,90.0
437032,98.0
437033,88.0
437034,85.0
437035,107.0
437036,87.0
437037,83.0
437038,92.0
437039,96.0
437040,100.0
437041,72.0
437042,75.0
437043,61.0
437044,56.0
437045,54.0
437046,48.0
437047,46.0
437048,45.0
437049,58.0
437050,57.0
437051,57.0
437052,58.0
437053,77.0
437054,69.0
437055,54.0
437056,65.0
437057,84.0
437058,80.0
437059,92.0
437060,98.0
437061,103.0
437062,108.0
437063,199.0
437064,199.0
437065,195.0
437066,193.0
437067,127.0
437068,48.0
437069,28.0
437070,111.0
437071,199.0
437072,181.0
437073,199.0
437074,188.0
437075,155.0
