manifestacion,hour,hour_rel,q_fixed,q_reoptimized,ami_weighted,pairwise_weighted,community_entropy_norm
nat,429576,-48.0,0.006586026835878118,0.7103245422698129,0.0,0.0011732499022291747,0.9033915252134971
nat,429577,-47.0,0.015541606621060489,0.7569826157290058,0.0,0.0021292313040455393,0.8626501397050004
nat,429578,-46.0,0.0054128693272398765,0.7697691372621958,0.0,0.0019554165037152915,0.8681439995651555
nat,429579,-45.0,0.006542583342425797,0.8517320481466008,0.0,0.001433972102724547,0.8576202109353048
nat,429580,-44.0,-0.005864644635581712,0.7425237664101403,0.0,0.0006518055012384304,0.8436257356768292
nat,429581,-43.0,-0.015076591314693636,0.8436198691255204,0.0,0.00017381480033024812,0.8941966776956698
nat,429582,-42.0,0.01612456747404844,0.8373702422145328,0.0,0.00017381480033024812,0.9310541261721373
nat,429583,-41.0,-0.010298777727478496,0.7399275690357627,0.0,0.00021726850041281016,0.8922713423941219
nat,429584,-40.0,-0.008873456790123458,0.7743055555555556,0.0,8.690740016512406e-05,0.9214289773073748
nat,429585,-39.0,0.04274931049499201,0.8460589345333139,0.0,0.00017381480033024812,0.9334638600990006
nat,429586,-38.0,-0.0054067797489635245,0.6805874813850074,0.0,0.0008690740016512406,0.8274846766433975
nat,429587,-37.0,-0.0011142051657660871,0.7572898384488882,0.0,0.0010863425020640508,0.8739551182139469
nat,429588,-36.0,0.017297892582986876,0.8034755437969998,0.0,0.001564333202972233,0.8572865959750623
nat,429589,-35.0,0.0006359981608776112,0.8209330316260653,0.0,0.001520879502889671,0.8554008160222116
nat,429590,-34.0,-0.00029970007543013135,0.7760211503693681,0.0,0.0010428888019814887,0.8292674906100314
nat,429591,-33.0,0.00043743999927030064,0.7369290571894841,0.0,0.0008256203015686786,0.8573021958228942
nat,429592,-32.0,0.003929329306412843,0.8723408236402539,0.0,0.0008256203015686786,0.8692017388356911
nat,429593,-31.0,0.015729249240322367,0.8808709869203329,0.0,0.001216703602311737,0.8743410561065035
nat,429594,-30.0,0.008610722184306746,0.8205906058736938,0.0,0.0016077869030547952,0.8832215970747213
nat,429595,-29.0,0.002537428738877938,0.7551909897970057,0.0,0.0023464998044583495,0.8330964660064288
nat,429596,-28.0,-0.0010388547898174743,0.8123267494898104,0.0,0.0026072220049537216,0.8453395191842458
nat,429597,-27.0,0.011921906857827116,0.8179596868389386,0.0,0.0025637683048711597,0.8441671934104417
nat,429598,-26.0,0.016207851785014066,0.8590098200017708,0.0,0.0012601573023942989,0.8786693100429759
nat,429599,-25.0,0.01166300416671567,0.6958906720393385,0.0,0.0032155738061095903,0.8170962457951914
nat,429600,-24.0,0.007136219839422003,0.7942604713372506,0.0,0.0025637683048711597,0.8379333228953885
nat,429601,-23.0,0.06397099404092411,0.8062766404424746,0.0,0.0038239256072654586,0.8440410149885595
nat,429602,-22.0,0.01417171926204824,0.8284934720364714,0.0,0.0016077869030547952,0.8392678031111602
nat,429603,-21.0,0.018324446895875465,0.8782781678534575,0.0,0.001520879502889671,0.8659103952639088
nat,429604,-20.0,0.03457276485086068,0.7735595489918299,0.0,0.0010863425020640508,0.9159508237687186
nat,429605,-19.0,0.0026518261273893637,0.7784163149061689,0.0,0.0007387129014035545,0.8850991662160157
nat,429606,-18.0,-0.04166223828249548,0.3488149643957913,0.0,4.345370008256203e-05,0.8972224172947503
nat,429607,-17.0,-0.019376181474480152,0.8733459357277883,0.0,4.345370008256203e-05,0.9491730610782096
nat,429608,-16.0,-0.012723607961703205,0.8344671201814058,0.0,4.345370008256203e-05,0.9457116080855037
nat,429609,-15.0,0.031935714554556065,0.8634875230531823,0.0,0.0004779907009081823,0.9061435143429308
nat,429610,-14.0,0.03420266354368422,0.8445765706249468,0.0,0.001347064702559423,0.8461534529731045
nat,429611,-13.0,0.007959216373618828,0.7888224349185275,0.0,0.0013036110024768608,0.8611725277151202
nat,429612,-12.0,0.02347758117654772,0.7230096174334935,0.0,0.003041759005779342,0.8491035097291424
nat,429613,-11.0,0.0252123837782426,0.7596882204027545,0.0,0.0021726850041281017,0.8250819314142025
nat,429614,-10.0,0.039737247478231257,0.6870600910791064,0.0,0.0038239256072654586,0.8280220858034005
nat,429615,-9.0,0.030236780744689905,0.7497704664806045,0.0,0.004215008908008517,0.784675379807045
nat,429616,-8.0,0.048285366903026934,0.7927310367175331,0.0,0.006300786511971495,0.8425838273411962
nat,429617,-7.0,0.05673627651569331,0.8064680878850256,0.0,0.0037804719071828966,0.8623514324666979
nat,429618,-6.0,0.03295743250995754,0.7147450376174007,0.0,0.0037804719071828966,0.8501064527997049
nat,429619,-5.0,0.018739321832242712,0.805152766210589,0.0,0.0033024812062747142,0.8184033557536923
nat,429620,-4.0,0.03220405160706202,0.7855935943866003,0.0,0.005648981010733064,0.84865383174968
nat,429621,-3.0,0.07523240179849355,0.6832653536989114,0.0,0.007821666014861166,0.8104165410641784
nat,429622,-2.0,0.06348296041086585,0.6774686790170327,0.0,0.009690175118411333,0.8143404370156588
nat,429623,-1.0,0.029552826568886765,0.17136551095106164,0.0,0.0321557380610959,0.7222972562544538
nat,429624,0.0,0.17099848560398834,0.17099848560398834,-0.0,1.0,0.660794583055553
nat,429625,1.0,0.047564021152018555,0.17825703299246726,0.0,0.030895580758701604,0.7295017516202089
nat,429626,2.0,0.05784334508612433,0.3994305401615288,0.0,0.037196367270673096,0.7266404508012692
nat,429627,3.0,0.06808883530969445,0.33394414515265464,0.0,0.020510146438969278,0.7297209629768484
nat,429628,4.0,0.0679904901620262,0.38467074358706493,0.0,0.014513535827575717,0.7588915120547773
nat,429629,5.0,0.03406763822039355,0.4433105219345816,0.0,0.008082388215356538,0.7134609397646086
nat,429630,6.0,0.04092963337139306,0.4318624051745268,0.0,0.005257897709990005,0.7119719721792994
nat,429631,7.0,0.08849057712980384,0.4515293267938726,0.0,0.003954286707513145,0.7855591440873753
nat,429632,8.0,0.04088427527873893,0.45301806997308725,0.0,0.001477425802807109,0.8340582678756465
nat,429633,9.0,0.020824260899017753,0.28363252205609585,0.0,0.002824490505366532,0.835534940603534
nat,429634,10.0,0.0638711818053852,0.5068873293249412,0.0,0.004128101507843393,0.7831195953540208
nat,429635,11.0,0.0645496181167548,0.4088392841246951,0.0,0.007821666014861166,0.782880930123605
nat,429636,12.0,0.015328419738882762,0.5060585279422868,0.0,0.010646156520227698,0.7118698447937329
nat,429637,13.0,0.03913640104644298,0.5089220996434801,0.0,0.011037239820970756,0.7719429177937119
nat,429638,14.0,0.054791981060035,0.682048185730302,0.0,0.007865119714943728,0.7898957581917133
nat,429639,15.0,0.04803058031027,0.6330726566730892,0.0,0.014470082127493155,0.7645910851178386
nat,429640,16.0,0.03661916759122288,0.6439912834894806,0.0,0.008169295615521661,0.8169757573709652
nat,429641,17.0,0.061741689750692524,0.7712403816558941,0.0,0.0049537218094120716,0.8286458796207963
nat,429642,18.0,0.039577927678629186,0.6833994889634799,0.0,0.005909703211228436,0.791550030385522
nat,429643,19.0,0.04886435401751533,0.7449840439503937,0.0,0.00491026810932951,0.8284741594521583
nat,429644,20.0,0.051591254340277774,0.7082036675347222,0.0,0.006691869812714552,0.80859511620135
nat,429645,21.0,0.044391616729482566,0.8093435682741897,0.0,0.004084647807760831,0.8417326857563794
nat,429646,22.0,0.012667812462428884,0.6720518859843928,0.0,0.004475731108503889,0.7985673074657619
nat,429647,23.0,0.027902377279379772,0.7577231913294569,0.0,0.002824490505366532,0.8386540168360216
nat,429648,24.0,0.05225777018100146,0.7817227341788876,0.0,0.0024768609047060358,0.8441647388828797
nat,429649,25.0,0.03144602769689733,0.7417838359372539,0.0,0.0017381480033024812,0.8583406532225357
nat,429650,26.0,0.004091630852762338,0.5504368683769713,0.0,0.004345370008256203,0.7479372105596627
nat,429651,27.0,0.0216391810943093,0.8264916173570019,0.0,0.0019554165037152915,0.8739579097881065
nat,429652,28.0,0.03168550781546007,0.7441151548969764,0.0,0.0025203146047885977,0.8145021660455202
nat,429653,29.0,-0.013495148097342882,0.4926755745228539,0.0,0.0005648981010733064,0.8658314009532401
nat,429654,30.0,-0.019902039804079612,0.8628867257734515,0.0,4.345370008256203e-05,0.8976784200276694
nat,429655,31.0,-0.012426035502958578,0.7273372781065088,0.0,0.00013036110024768608,0.8816516062048656
nat,429656,32.0,-0.0141993571480751,0.6860344071882534,0.0,0.00013036110024768608,0.8557870862920451
nat,429657,33.0,-0.04363636363636364,0.6948760330578512,0.0,0.0,0.9246585066820499
nat,429658,34.0,0.011822376009227215,0.6816608996539792,0.0,0.00030417590057793423,0.9273073640467627
nat,429659,35.0,0.03961057079081633,0.7167680874433107,0.0,0.002433407204623474,0.8094042744744997
nat,429660,36.0,0.0281421550094518,0.7839047258979206,0.0,0.0022595924042932256,0.8569205502908099
nat,429661,37.0,0.010777192802550135,0.7719432983730028,0.0,0.0010863425020640508,0.83629168975257
nat,429662,38.0,0.013467221201646404,0.788790972004902,0.0,0.0010428888019814887,0.8672202709684741
nat,429663,39.0,0.01287077878130178,0.7949854916878651,0.0,0.001520879502889671,0.8403113759550925
nat,429664,40.0,0.01232482873816457,0.7745031263827786,0.0,0.0011732499022291747,0.8445643754524624
nat,429665,41.0,0.018823033096240383,0.7703766874727828,0.0,0.0011297962021466128,0.8583296787663613
nat,429666,42.0,-0.0003047812788550322,0.7580060691751308,0.0,0.0007821666014861165,0.8443644888278931
nat,429667,43.0,0.016502925518614663,0.8492992949760285,0.0,0.0019119628036327293,0.8144482833149634
nat,429668,44.0,0.015194865690181667,0.7585632213653538,0.0,0.0012601573023942989,0.8396369178630303
nat,429669,45.0,0.006826995511888719,0.8318476853865824,0.0,0.0016512406031373571,0.8179384340187374
nat,429670,46.0,0.006004376491784324,0.837035973060104,0.0,0.001390518402641985,0.8703554072596469
nat,429671,47.0,0.019950929752066117,0.8605187426210154,0.0,0.0011297962021466128,0.878727485756573
nat,429672,48.0,0.007609949547543809,0.8289576450732549,0.0,0.0009125277017338027,0.8393346965394538
