hour,raw,rolling_mean_3,rolling_median_3,savgol_5_2
394669, 0.4022 ,0.4022,0.4022,0.34837714285714266
394671, 0.1296 ,0.2659,0.2659,0.2729714285714283
394673, 0.3964 ,0.30939999999999995,0.3964,0.2892228571428569
394675, 0.3976 ,0.3078666666666667,0.3964,0.477365714285714
394677, 0.5786 ,0.45753333333333335,0.3976,0.49601428571428535
394679, 0.4542 ,0.47679999999999995,0.4542,0.515845714285714
394680, 0.5027 ,0.5118333333333334,0.5027,0.5138171428571426
394681, 0.4832 ,0.48003333333333337,0.4832,0.3767257142857141
394682, 0.0251 ,0.337,0.4832,0.13048571428571415
394683, 0.0000 ,0.16943333333333332,0.0251,-0.02394857142857151
394684, 0.0500 ,0.025033333333333335,0.0251,0.008899999999999911
394685, 0.0966 ,0.04886666666666667,0.05,0.21084857142857127
394686, 0.5408 ,0.22913333333333333,0.0966,0.4047628571428569
394687, 0.4507 ,0.36269999999999997,0.4507,0.5166314285714282
394688, 0.4815 ,0.49099999999999994,0.4815,0.49810285714285685
394689, 0.5192 ,0.4838,0.4815,0.42260857142857117
394690, 0.2561 ,0.4189333333333334,0.4815,0.4008199999999997
394691, 0.5114 ,0.42890000000000006,0.5114,0.4038799999999997
394692, 0.4159 ,0.3944666666666667,0.4159,0.45241428571428544
394693, 0.3548 ,0.4273666666666667,0.4159,0.334785714285714
394694, 0.2873 ,0.3526666666666667,0.3548,0.3361228571428569
394695, 0.4061 ,0.3494,0.3548,0.35522857142857117
394696, 0.3343 ,0.3425666666666667,0.3343,0.33472857142857115
394697, 0.2885 ,0.34296666666666664,0.3343,0.3507028571428568
394698, 0.4803 ,0.36769999999999997,0.3343,0.40479428571428544
394699, 0.3956 ,0.3881333333333334,0.3956,0.4243399999999997
394700, 0.4012 ,0.42569999999999997,0.4012,0.4390514285714282
394701, 0.5286 ,0.4418,0.4012,0.4466142857142854
394702, 0.3677 ,0.43249999999999994,0.4012,0.4370942857142853
394703, 0.4649 ,0.4537333333333333,0.4649,0.4629799999999997
394704, 0.5570 ,0.46320000000000006,0.4649,0.5163114285714283
394705, 0.4032 ,0.47503333333333336,0.4649,0.4240714285714283
394706, 0.2374 ,0.3992,0.4032,0.20116857142857122
394707, 0.0500 ,0.2302,0.2374,0.14581999999999987
394708, 0.2541 ,0.1805,0.2374,0.16632857142857133
394709, 0.1449 ,0.14966666666666664,0.1449,0.13337142857142845
394710, 0.0416 ,0.14686666666666667,0.1449,0.16195142857142839
394711, 0.3979 ,0.1948,0.1449,0.2544914285714284
394712, 0.2634 ,0.23429999999999998,0.2634,0.35651142857142837
394713, 0.3608 ,0.3407,0.3608,0.3036885714285712
394714, 0.3265 ,0.3169,0.3265,0.37263999999999975
394715, 0.4632 ,0.3835,0.3608,0.47168571428571404
394716, 0.5353 ,0.44166666666666665,0.4632,0.4481542857142855
394717, 0.2082 ,0.4022333333333333,0.4632,0.26882571428571406
394718, 0.1640 ,0.30249999999999994,0.2082,0.22292857142857123
394719, 0.3775 ,0.2499,0.2082,0.247042857142857
394720, 0.1360 ,0.22583333333333336,0.164,0.2514657142857141
394721, 0.2488 ,0.25410000000000005,0.2488,0.17969714285714272
394722, 0.1781 ,0.18763333333333332,0.1781,0.20675428571428556
394723, 0.1923 ,0.2064,0.1923,0.1686514285714284
394724, 0.2255 ,0.19863333333333333,0.1923,0.2741685714285712
394725, 0.4877 ,0.30183333333333334,0.2255,0.481725714285714
394726, 0.6211 ,0.4447666666666666,0.4877,0.5302599999999997
394727, 0.3376 ,0.4821333333333333,0.4877,0.44657714285714256
394728, 0.4089 ,0.45586666666666664,0.4089,0.3535799999999998
394729, 0.3353 ,0.3606,0.3376,0.36197428571428547
394730, 0.2625 ,0.3355666666666666,0.3353,0.21169714285714272
394731, 0.0250 ,0.20759999999999992,0.2625,0.05754571428571415
394732, 0.0500 ,0.11249999999999998,0.05,0.10485714285714272
394733, 0.3850 ,0.1533333333333333,0.05,0.3132742857142855
394734, 0.4375 ,0.2908333333333333,0.385,0.4603514285714283
394735, 0.4518 ,0.4247666666666667,0.4375,0.440905714285714
394736, 0.4056 ,0.4316333333333333,0.4375,0.4243542857142854
394737, 0.4037 ,0.4203666666666666,0.4056,0.38623142857142834
394738, 0.3321 ,0.3804666666666667,0.4037,0.3302828571428569
394739, 0.2806 ,0.3388,0.3321,0.29967142857142837
394740, 0.3602 ,0.3243,0.3321,0.35521142857142834
394741, 0.4594 ,0.3667333333333333,0.3602,0.45603142857142825
394742, 0.5249 ,0.44816666666666666,0.4594,0.5407999999999997
394743, 0.5427 ,0.509,0.5249,0.4904999999999997
394744, 0.3133 ,0.4603,0.5249,0.3505599999999997
394745, 0.2462 ,0.3674,0.3133,0.250365714285714
394746, 0.3162 ,0.2919,0.3133,0.3289285714285712
394747, 0.4495 ,0.3373,0.3162,0.4120685714285712
394748, 0.4238 ,0.3965,0.4238,0.4467714285714283
394749, 0.4535 ,0.44226666666666664,0.4495,0.44362571428571396
394750, 0.4850 ,0.4541,0.4535,0.5090599999999996
394751, 0.5799 ,0.5061333333333333,0.485,0.5849142857142854
394752, 0.5191 ,0.528,0.5191,
394753, 0.0250 ,0.37466666666666665,0.5191,
394754, nan ,0.27205,0.27205,
