method_a,method_b,pearson_r
raw,rolling_mean_3,0.6972641385345756
raw,rolling_median_3,0.5701199964590961
raw,savgol_5_2,0.8975088083875922
rolling_mean_3,rolling_median_3,0.9289446581978965
rolling_mean_3,savgol_5_2,0.7728965351764031
rolling_median_3,savgol_5_2,0.7092458260285133
