manifestacion,replicate,type,obs_avg_path_length,obs_global_efficiency,obs_avg_clustering,null_avg_path_length,null_global_efficiency,null_avg_clustering,obs_epsilon_cco,null_epsilon_cco,obs_epsilon_ccdf,null_epsilon_ccdf
9n,0,null_configuration,2.456303891866698,0.4392702904545251,0.8508305772435922,2.438111662283184,0.43666895273686346,0.20409580920814363,0.13440648398389823,0.008067909877078297,0.3071853448238196,0.2224732221708655
9n,1,null_configuration,2.456303891866698,0.4392702904545251,0.8508305772435922,2.4411891999866833,0.43614100387321675,0.20561157117220508,0.13440648398389823,0.01648942831538805,0.3071853448238196,0.2328885566551137
9n,2,null_configuration,2.456303891866698,0.4392702904545251,0.8508305772435922,2.442350434464161,0.43597878172544224,0.20554334151157716,0.13440648398389823,0.011903087256099652,0.3071853448238196,0.2294140251825465
9n,3,null_configuration,2.456303891866698,0.4392702904545251,0.8508305772435922,2.4434570696141424,0.43571637203075714,0.2035268282989677,0.13440648398389823,0.017772532902617807,0.3071853448238196,0.23313939430518138
9n,4,null_configuration,2.456303891866698,0.4392702904545251,0.8508305772435922,2.449914438858741,0.43502451421063454,0.19599531525674535,0.13440648398389823,0.019489931398148204,0.3071853448238196,0.22477650874461047
9n,5,null_configuration,2.456303891866698,0.4392702904545251,0.8508305772435922,2.4440922861803775,0.43569715129219716,0.2021322224683227,0.13440648398389823,0.0069443354823728026,0.3071853448238196,0.21877186007763366
9n,6,null_configuration,2.456303891866698,0.4392702904545251,0.8508305772435922,2.442303825282152,0.43624416552966966,0.20089047789033795,0.13440648398389823,0.005661888039838593,0.3071853448238196,0.21780163138778982
9n,7,null_configuration,2.456303891866698,0.4392702904545251,0.8508305772435922,2.446141758497853,0.4353129140733061,0.20334336297034342,0.13440648398389823,0.009662737854226899,0.3071853448238196,0.21598080015815016
9n,8,null_configuration,2.456303891866698,0.4392702904545251,0.8508305772435922,2.455696640809668,0.4343357636699064,0.1978019420595237,0.13440648398389823,0.01121709302282891,0.3071853448238196,0.21622713180932296
9n,9,null_configuration,2.456303891866698,0.4392702904545251,0.8508305772435922,2.4500516030229385,0.4352529213974624,0.2006684111109686,0.13440648398389823,0.00878941286415481,0.3071853448238196,0.22280006150118076
