hour,raw,rolling_mean_3,rolling_median_3,savgol_5_2
429576,0.4448,0.4448,0.4448,0.3799828571428569
429577,0.2538,0.3493,0.3493,0.40184857142857133
429578,0.4877,0.39543333333333336,0.4448,0.4324571428571426
429579,0.5462,0.42923333333333336,0.4877,0.5688114285714283
429580,0.4735,0.5024666666666667,0.4877,0.3925942857142855
429581,0.05,0.3565666666666667,0.4735,0.13766857142857128
429582,0.0,0.1745,0.05,-0.014871428571428636
429583,0.025,0.025000000000000005,0.025,0.003571428571428557
429584,0.0,0.008333333333333333,0.0,-0.0035914285714286204
429585,0.05,0.025000000000000005,0.025,0.1104199999999999
429586,0.3419,0.13063333333333332,0.05,0.2671142857142855
429587,0.3377,0.2432,0.3377,0.3838057142857141
429588,0.3719,0.3505,0.3419,0.3097314285714284
429589,0.2411,0.3169,0.3377,0.32321428571428545
429590,0.4672,0.3600666666666667,0.3719,0.4542828571428568
429591,0.6141,0.4408,0.4672,0.546385714285714
429592,0.3964,0.49256666666666665,0.4672,0.41806857142857107
429593,0.3187,0.44306666666666655,0.3964,0.42417142857142814
429594,0.6328,0.44930000000000003,0.3964,0.4358199999999997
429595,0.36,0.4371666666666667,0.36,0.5900914285714283
429596,0.8197,0.6041666666666666,0.6328,0.6758371428571425
429597,0.6469,0.6088666666666667,0.6469,0.5709742857142854
429598,0.155,0.5405333333333334,0.6469,0.36876285714285684
429599,0.5432,0.44836666666666664,0.5432,0.4087485714285712
429600,0.5168,0.405,0.5168,0.507405714285714
429601,0.3497,0.4699,0.5168,0.41958285714285687
429602,0.4254,0.43063333333333337,0.4254,0.38494285714285686
429603,0.3121,0.3624,0.3497,0.2462885714285712
429604,0.05,0.2625,0.3121,0.2481199999999998
429605,0.4471,0.2697333333333333,0.3121,0.2075542857142856
429606,0.0,0.1657,0.05,0.1490057142857142
429607,0.0,0.14903333333333332,0.0,-0.05299714285714293
429608,0.0,0.0,0.0,0.02610857142857135
429609,0.1712,0.05706666666666666,0.0,0.18154571428571414
429610,0.3802,0.1838,0.1712,0.33437714285714265
429611,0.3729,0.3081,0.3729,0.40349999999999975
429612,0.4298,0.39430000000000004,0.3802,0.4354914285714283
429613,0.4744,0.42569999999999997,0.4298,0.42747999999999975
429614,0.3638,0.4226666666666667,0.4298,0.4386714285714282
429615,0.5025,0.4469,0.4744,0.43793142857142825
429616,0.4215,0.42926666666666663,0.4215,0.44457428571428537
429617,0.4051,0.44303333333333333,0.4215,0.42147999999999963
429618,0.4684,0.43166666666666664,0.4215,0.4431228571428569
429619,0.4354,0.43629999999999997,0.4354,0.45590285714285683
429620,0.425,0.44293333333333335,0.4354,0.39842857142857113
429621,0.3169,0.39243333333333336,0.425,0.3524885714285712
429622,0.3008,0.34756666666666663,0.3169,0.25519999999999987
429623,0.1512,0.25630000000000003,0.3008,0.2000571428571427
429624,0.1746,0.20886666666666667,0.1746,0.13207714285714273
429625,0.1075,0.14443333333333333,0.1512,0.13093428571428556
429626,0.1825,0.15486666666666668,0.1746,0.209362857142857
429627,0.3588,0.2162666666666667,0.1825,0.2907171428571427
429628,0.2822,0.2745,0.2822,0.3414028571428569
429629,0.3928,0.3446,0.3588,0.37277714285714253
429630,0.44,0.37166666666666665,0.3928,0.42523142857142826
429631,0.4068,0.4132,0.4068,0.43403999999999976
429632,0.4485,0.43176666666666663,0.44,0.41603999999999974
429633,0.4026,0.4193,0.4068,0.4494514285714283
429634,0.4853,0.4454666666666667,0.4485,0.40225142857142826
429635,0.3662,0.4180333333333334,0.4026,0.5226971428571425
429636,0.6838,0.5117666666666666,0.4853,0.4697199999999997
429637,0.2508,0.4336,0.3662,0.4061485714285711
429638,0.3775,0.4373666666666667,0.3775,0.37133714285714253
429639,0.5618,0.3967,0.3775,0.47853714285714255
429640,0.3735,0.4376,0.3775,0.43758857142857116
429641,0.3538,0.42969999999999997,0.3735,0.32599428571428546
429642,0.2962,0.3411666666666666,0.3538,0.2942285714285712
429643,0.3186,0.32286666666666664,0.3186,0.3783514285714283
429644,0.5619,0.39223333333333327,0.3186,0.47581714285714255
429645,0.4699,0.4501333333333333,0.4699,0.5232999999999997
429646,0.4907,0.5075,0.4907,0.45975714285714253
429647,0.4494,0.47000000000000003,0.4699,0.48849428571428544
429648,0.5321,0.4907333333333333,0.4907,0.4671457142857139
429649,0.4688,0.4834333333333333,0.4688,0.5980657142857139
429650,0.7473,0.5827333333333333,0.5321,0.5693571428571425
429651,0.3473,0.5211333333333333,0.4688,0.4842971428571426
429652,0.3245,0.47303333333333325,0.3473,0.2593657142857141
429653,0.1363,0.2693666666666667,0.3245,0.14769142857142847
429654,0.0,0.1536,0.1363,0.018917142857142792
429655,0.0,0.04543333333333333,0.0,-0.01168285714285716
429656,0.0,0.0,0.0,0.0
429657,0.0,0.0,0.0,-0.038845714285714344
429658,0.0,0.0,0.0,0.11583428571428558
429659,0.4532,0.15106666666666665,0.0,0.33374857142857123
429660,0.4614,0.3048666666666667,0.4532,0.5266971428571426
429661,0.52,0.4782,0.4614,0.467405714285714
