manifestacion,replicate,type,obs_avg_path_length,obs_global_efficiency,obs_avg_clustering,null_avg_path_length,null_global_efficiency,null_avg_clustering,obs_epsilon_cco,null_epsilon_cco,obs_epsilon_ccdf,null_epsilon_ccdf
nat,0,null_configuration,2.267588765896174,0.46839317978828643,0.7888336116838356,2.6001536832049177,0.41422158072091225,0.21733894468958667,0.17460756627437307,0.12886443421509117,0.27215388924325634,0.20425411711944802
nat,1,null_configuration,2.267588765896174,0.46839317978828643,0.7888336116838356,2.601095165901712,0.41375626212825106,0.22727458143516838,0.17460756627437307,0.11117562171331392,0.27215388924325634,0.19402000100097888
nat,2,null_configuration,2.267588765896174,0.46839317978828643,0.7888336116838356,2.5929264189736454,0.41490115585381315,0.22213254378151226,0.17460756627437307,0.17080139299279817,0.27215388924325634,0.2407582879524779
nat,3,null_configuration,2.267588765896174,0.46839317978828643,0.7888336116838356,2.621863166566288,0.4116018128148966,0.2336363944662976,0.17460756627437307,0.14149930280425274,0.27215388924325634,0.2106130611567533
nat,4,null_configuration,2.267588765896174,0.46839317978828643,0.7888336116838356,2.5962562217468657,0.41383598817526707,0.23106809374049136,0.17460756627437307,0.07943752167028247,0.27215388924325634,0.18659965108651258
nat,5,null_configuration,2.267588765896174,0.46839317978828643,0.7888336116838356,2.5860660560874473,0.4154186252036438,0.22566861393216892,0.17460756627437307,0.15099243227557718,0.27215388924325634,0.22875816057576787
nat,6,null_configuration,2.267588765896174,0.46839317978828643,0.7888336116838356,2.615909673042443,0.41206932358535237,0.2209489175502306,0.17460756627437307,0.14252105527763148,0.27215388924325634,0.23963758375352517
nat,7,null_configuration,2.267588765896174,0.46839317978828643,0.7888336116838356,2.5987306458362394,0.4139176779645346,0.21689906476694842,0.17460756627437307,0.13168704074614554,0.27215388924325634,0.21569125903240344
nat,8,null_configuration,2.267588765896174,0.46839317978828643,0.7888336116838356,2.622437747918008,0.41107949759819556,0.22513603615806535,0.17460756627437307,0.12472467058791752,0.27215388924325634,0.21037465502186098
nat,9,null_configuration,2.267588765896174,0.46839317978828643,0.7888336116838356,2.615916595709331,0.4117883786875469,0.22111969684887403,0.17460756627437307,0.22868051493536581,0.27215388924325634,0.223523536650912
