method_a,method_b,pearson_r
raw,rolling_mean_3,0.784593386349003
raw,rolling_median_3,0.7436516686683127
raw,savgol_5_2,0.8842015521133764
rolling_mean_3,rolling_median_3,0.9468322265976056
rolling_mean_3,savgol_5_2,0.8487297171179153
rolling_median_3,savgol_5_2,0.8295730569532072
