network,epsilon_ccdf_new,epsilon_knn_new,epsilon_cco_new,avg_clustering,epsilon_max,epsilon_ccdf_ref,epsilon_knn_ref,epsilon_cco_ref,epsilon_ccdf_abs_diff,epsilon_ccdf_ok,epsilon_knn_abs_diff,epsilon_knn_ok,epsilon_cco_abs_diff,epsilon_cco_ok,manifestacion
429624,0.27215388924325634,0.19259112463821842,0.17460756627437307,0.8786593852710218,0.27215388924325634,0.2722,0.1926,0.1746,4.6110756743655834e-05,True,8.875361781568447e-06,True,7.5662743730664506e-06,True,nat
437037,0.3071853448238196,0.16834985287835202,0.13440648398389823,0.8758339947108682,0.3071853448238196,0.3072,0.1683,0.1344,1.4655176180378149e-05,True,4.9852878352019125e-05,True,6.483983898242229e-06,True,9n
394717,0.3452802984061841,0.33409070539883245,0.20819789949062778,0.8947401793056181,0.3452802984061841,0.3453,0.3341,0.2082,1.9701593815868446e-05,True,9.294601167553207e-06,True,2.100509372215953e-06,True,ch
