manifestacion,replicate,type,obs_avg_path_length,obs_global_efficiency,obs_avg_clustering,null_avg_path_length,null_global_efficiency,null_avg_clustering,obs_epsilon_cco,null_epsilon_cco,obs_epsilon_ccdf,null_epsilon_ccdf
ch,0,null_configuration,2.4932194711626376,0.4294638133225534,0.7980115112725783,2.9310280510551148,0.36633727967408186,0.14207686220410798,0.20819789949062778,0.23675924689099773,0.3452802984061841,0.2510963995316489
ch,1,null_configuration,2.4932194711626376,0.4294638133225534,0.7980115112725783,2.9195007960934425,0.36799419385082704,0.13956952910569415,0.20819789949062778,0.18242391672362612,0.3452802984061841,0.2709388676826927
ch,2,null_configuration,2.4932194711626376,0.4294638133225534,0.7980115112725783,2.9279434314017494,0.36645475154875345,0.130109311749739,0.20819789949062778,0.24869008971646867,0.3452802984061841,0.23592815468549394
ch,3,null_configuration,2.4932194711626376,0.4294638133225534,0.7980115112725783,2.9291994294700654,0.36683514366986514,0.1504505788925727,0.20819789949062778,0.2661607641781095,0.3452802984061841,0.25844768320950506
ch,4,null_configuration,2.4932194711626376,0.4294638133225534,0.7980115112725783,2.8790857243714907,0.3724257500389038,0.1469455635138229,0.20819789949062778,0.30984602506368164,0.3452802984061841,0.23004012179730804
ch,5,null_configuration,2.4932194711626376,0.4294638133225534,0.7980115112725783,2.9135171707566836,0.3685598995489943,0.14126806788980076,0.20819789949062778,0.3795655545536065,0.3452802984061841,0.26008146240465907
ch,6,null_configuration,2.4932194711626376,0.4294638133225534,0.7980115112725783,2.9481622353070254,0.3649396641965353,0.14702996849245809,0.20819789949062778,0.19897299512325795,0.3452802984061841,0.23935829640967607
ch,7,null_configuration,2.4932194711626376,0.4294638133225534,0.7980115112725783,2.9221738653403064,0.3675630308457198,0.15339605056137653,0.20819789949062778,0.5388010771811453,0.3452802984061841,0.29583242422220857
ch,8,null_configuration,2.4932194711626376,0.4294638133225534,0.7980115112725783,2.905090882492777,0.3700216125667995,0.15114490091522803,0.20819789949062778,0.21660169661188994,0.3452802984061841,0.22624227981232709
ch,9,null_configuration,2.4932194711626376,0.4294638133225534,0.7980115112725783,2.8759205856255545,0.3727879536920014,0.16248059814773647,0.20819789949062778,0.13471162767127737,0.3452802984061841,0.19399142894785776
