hora,clave_max
436983,0.0
436984,18.0
436985,17.0
436986,20.0
436987,13.0
436988,16.0
436989,16.0
436990,18.0
436991,18.0
436992,27.0
436993,19.0
436994,45.0
436995,38.0
436996,15.0
436997,10.0
436998,21.0
436999,13.0
437000,21.0
437001,11.0
437002,48.0
437003,21.0
437004,51.0
437005,54.0
437006,61.0
437007,20.0
437008,14.0
437009,18.0
437010,15.0
437011,23.0
437012,49.0
437013,20.0
437014,21.0
437015,29.0
437016,30.0
437017,39.0
437018,24.0
437019,18.0
437020,30.0
437021,19.0
437022,15.0
437023,12.0
437024,43.0
437025,40.0
437026,44.0
437027,115.0
437028,58.0
437029,77.0
437030,42.0
437031,29.0
437032,32.0
437033,76.0
437034,76.0
437035,24.0
437036,27.0
437037,37.0
437038,34.0
437039,39.0
437040,46.0
437041,34.0
437042,35.0
437043,36.0
437044,26.0
437045,37.0
437046,15.0
437047,18.0
437048,24.0
437049,16.0
437050,19.0
437051,18.0
437052,43.0
437053,30.0
437054,37.0
437055,48.0
437056,30.0
437057,25.0
437058,22.0
437059,23.0
437060,26.0
437061,30.0
437062,32.0
437063,42.0
437064,30.0
437065,60.0
437066,92.0
437067,81.0
437068,51.0
437069,16.0
437070,17.0
437071,20.0
437072,31.0
437073,25.0
437074,62.0
437075,109.0
437076,42.0
437077,28.0
437078,16.0
437079,22.0
